"","id","Estimate.TreatmentEcN","Std. Error.TreatmentEcN","t value.TreatmentEcN","Pr(>|t|).TreatmentEcN","Estimate.Day_of_study_factorDay_8","Std. Error.Day_of_study_factorDay_8","t value.Day_of_study_factorDay_8","Pr(>|t|).Day_of_study_factorDay_8","Estimate.Day_of_study_factorDay_14","Std. Error.Day_of_study_factorDay_14","t value.Day_of_study_factorDay_14","Pr(>|t|).Day_of_study_factorDay_14","Estimate.Day_of_study_factorDay_26","Std. Error.Day_of_study_factorDay_26","t value.Day_of_study_factorDay_26","Pr(>|t|).Day_of_study_factorDay_26","Estimate.Day_of_study_factorDay_35","Std. Error.Day_of_study_factorDay_35","t value.Day_of_study_factorDay_35","Pr(>|t|).Day_of_study_factorDay_35","Estimate.Day_of_study_factorDay_43","Std. Error.Day_of_study_factorDay_43","t value.Day_of_study_factorDay_43","Pr(>|t|).Day_of_study_factorDay_43","Estimate.Day_of_study_factorDay_59","Std. Error.Day_of_study_factorDay_59","t value.Day_of_study_factorDay_59","Pr(>|t|).Day_of_study_factorDay_59","Estimate.Day_of_study_factorDay_69","Std. Error.Day_of_study_factorDay_69","t value.Day_of_study_factorDay_69","Pr(>|t|).Day_of_study_factorDay_69","Estimate.department_pre_weaningd2","Std. Error.department_pre_weaningd2","t value.department_pre_weaningd2","Pr(>|t|).department_pre_weaningd2","Estimate.department_pre_weaningd6","Std. Error.department_pre_weaningd6","t value.department_pre_weaningd6","Pr(>|t|).department_pre_weaningd6","Estimate.department_pre_weaningd7","Std. Error.department_pre_weaningd7","t value.department_pre_weaningd7","Pr(>|t|).department_pre_weaningd7","pval.adjust.TreatmentEcN","pval.adjust.Day_of_study_factorDay_8","pval.adjust.Day_of_study_factorDay_14","pval.adjust.Day_of_study_factorDay_26","pval.adjust.Day_of_study_factorDay_35","pval.adjust.Day_of_study_factorDay_43","pval.adjust.Day_of_study_factorDay_59","pval.adjust.Day_of_study_factorDay_69","pval.adjust.department_pre_weaningd2","pval.adjust.department_pre_weaningd6","pval.adjust.department_pre_weaningd7"
"1","k__813809363",-0.0631753098339492,0.111045050919457,-0.568916032825017,0.569937848234207,1.73225732314337,14433.7567302737,0.000120014307814271,0.999904340768325,1.53181104290754,14433.7567301855,0.000106126982153166,0.999915409872681,1.61795907521284,14433.75673026,0.000112095492909398,0.999910652580308,1.47890305731554,14433.756730592,0.000102461409383535,0.999918331573269,1.36925931354245,14433.7567310192,9.4865067983293e-05,0.999924386352848,0.989573721833416,14433.7567486763,6.85596784720766e-05,0.999945353464127,1.01979514940558,14433.7567323509,7.06534804705329e-05,0.999943684567359,0.0959230350794513,0.155151837575901,0.618252652228663,0.536987061850639,0.143688146205686,0.157227739179922,0.913885469288962,0.361681675268231,-0.25851798392583,0.168393055483533,-1.53520573151611,0.126032504643703,0.809311744492574,0.999999999913162,0.999999914730711,0.999965736611474,0.999952194144116,0.999981664608553,0.999970851662806,0.999963629300779,0.794293362320737,0.755276439530717,0.390578860807803
"2","k__813809115",0.0147662954677132,0.0814680934539832,0.181252498268587,0.856319044967043,0.728506460049388,0.466157897010422,1.56278905650096,0.119391227498318,1.87416894750575,0.454083624875671,4.12736519186063,5.0310279002725e-05,2.08305629869617,0.453406457792512,4.59423606103427,6.94974398910261e-06,0.968289549913419,0.466189723336673,2.07702894646208,0.0388397504254498,0.828443295957019,0.470778222831097,1.75973155889635,0.0796996696793968,0.24493692270529,0.507013379824791,0.483097552159142,0.629457312067697,0.585627983322881,0.495274078538895,1.18243212939902,0.238179014170729,-0.0259984876399001,0.114435361930899,-0.227189281365659,0.820465769385305,-0.0789843344654795,0.115025071579169,-0.686670596080579,0.492938853953498,-0.126662909904461,0.115347430495746,-1.09809910251215,0.273237773291181,0.905526448434211,0.235466032010572,0.000357202980919348,4.11193186021905e-05,0.114900928341956,0.246029415097269,0.999970851662806,0.528459687691306,0.933508239301542,0.830796202439876,0.600455381424737
"3","k__813809121",0.126880052312206,0.11361552091558,1.1167492899714,0.265197327407165,0.359407406234525,0.171777633492149,2.09228290626645,0.0374443163598668,-0.600633020419053,0.201223201474407,-2.98490937435684,0.00312427919889688,-1.0799166448594,0.286121198142411,-3.77433287666401,0.00020139261670781,-1.14380681065403,0.233243132295943,-4.90392492758477,1.71364222274777e-06,-1.41906575064057,0.273055776577022,-5.19698124840912,4.27280001858188e-07,-1.00614216722493,0.255850104500731,-3.93254546129005,0.000109510256459622,-1.1542007900894,0.271845354060409,-4.24579921212455,3.09567326109685e-05,-0.0737082964246661,0.159710714455472,-0.461511281043179,0.644841985812598,-0.084705544568067,0.158823989029372,-0.533329663143029,0.594289665574037,-0.00668135819941162,0.150877916358759,-0.044283208309456,0.964714786263821,0.507753409372086,0.0984646837611313,0.0100829010509854,0.000794381988125249,1.73812282592988e-05,5.19235386185726e-06,0.00155504564172664,0.00031398971648268,0.841359782453773,0.843891325115133,0.9857524572356
"4","k__813809186",0.0924973050856853,0.114672482364574,0.806621633877357,0.420673739612761,1.23672522884263,0.489805290595622,2.52493236105867,0.0122099734022012,0.818654546005447,0.536563733353602,1.52573589140797,0.128376934100169,-0.12006754319447,0.502482691993487,-0.238948614763484,0.811346955494491,0.806961855322585,0.430666225391942,1.87375235796163,0.0621654648703767,-0.235972878261197,0.448139639364401,-0.526561048239067,0.598979049622544,0.893455333246818,0.440891658765775,2.02647365964678,0.0438093071835273,1.28441217362079,0.436831119131472,2.94029458380739,0.00359549776845282,-0.349401913582232,0.163466330668623,-2.13745492514012,0.0335601378468665,-0.268843327841494,0.152801285963166,-1.75943105548405,0.0797635191471895,-0.532372835858152,0.16112769581172,-3.30404300251545,0.00109681069861566,0.657013919242612,0.0412813386455374,0.253187842253111,0.999965736611474,0.161883282457244,0.999981664608553,0.163708463685813,0.0283644823955723,0.158851319141835,0.269676659973831,0.0389367798008559
"5","k__813809400",-0.186062579398117,0.117155244207305,-1.58817115407042,0.113546530071302,-0.794253958790591,1.09436554579263,-0.725766597682248,0.468679531127745,-1.45345337448111,14586.4991665482,-9.96437430178162e-05,0.999920577461549,1.66618765768402,0.757247434641032,2.20032129719114,0.0287246774604854,0.427924959878441,0.704812913083511,0.607146878178348,0.544319731254213,-0.0940213449302018,0.70763451487989,-0.132867098697356,0.894408330025627,-0.501871724134363,0.724374839974465,-0.692834284735861,0.489074457875214,-0.0162743680069834,0.71809942914359,-0.0226631123024179,0.981937579283295,0.0150377267413964,0.16925285684811,0.0888476981803119,0.92927605277449,-0.11479670455356,0.181016711580917,-0.634177383684517,0.526560973377386,0.494679833747633,0.166668477896762,2.96804674759223,0.00329615802863499,0.287921558395088,0.66248240383196,0.999999914730711,0.0657887774094988,0.80513960248019,0.999981664608553,0.938494229976763,0.999963629300779,0.942551424956982,0.830796202439876,0.0666794263386566
"6","k__8138092461",0.612468567372258,0.119577573855297,5.12193505542619,6.32119486221323e-07,1.30321082023739,0.163435518861789,7.97385310924649,6.79949289289206e-14,-0.581303323997494,0.290189126422372,-2.00318782155677,0.0463111879128656,0.650572358757207,0.279795370043717,2.3251719950032,0.0209194843741434,-0.39748858707162,0.259574632417593,-1.531307521731,0.127044935744813,-0.0370154548042463,0.264006470862687,-0.140206619494181,0.888617418881521,-0.356079938483004,0.2469414886092,-1.44196076766397,0.150651209501771,0.328598264286161,0.36629452810781,0.89708755952108,0.37059472609681,0.0190723463375461,0.154456982017438,0.123479988333534,0.901833074262096,-0.0470177294187454,0.143974643826468,-0.326569513694477,0.744285569958162,-0.284937903885643,0.1699435899083,-1.67666167367297,0.0949447925500733,4.48804835217139e-05,2.41381997697668e-12,0.117431940779052,0.0495094463521394,0.265299718761227,0.999981664608553,0.411393687485606,0.711141231158743,0.942551424956982,0.939224732237291,0.35479369847659
"7","k__813809169",-0.190618314927778,0.108244936660743,-1.76099059049022,0.0793652758700489,-0.257786439229017,0.201115341660152,-1.28178406033602,0.201011504556557,-0.816076158310946,0.24236662324668,-3.3671144457888,0.00086941592020357,-0.643274799870006,0.248712417730022,-2.58642011420709,0.0102185967382429,-0.0582670585402589,0.198382599052638,-0.293710531158021,0.769203417611249,-0.168994795115072,0.201167687288978,-0.840069284448801,0.401608412737241,-0.234457877484282,0.244112866007141,-0.96044866999113,0.337683683320221,0.166635173349007,0.223206856121932,0.746550425216235,0.455980697563723,0.122416601417714,0.151567617291287,0.807669894173043,0.419987414790731,0.0220325132109412,0.152321359330997,0.14464493560003,0.885098489981826,-0.114976280540864,0.148544916883259,-0.77401693005237,0.439593984484072,0.232219348338589,0.356795420587889,0.00324887001760281,0.0268711247561203,0.999952194144116,0.731133264213951,0.764755439381331,0.764012609130306,0.745477661253547,0.947317121047031,0.709344838599299
"8","k__813809265",0.0337991907918588,0.138373489087014,0.244260595110128,0.807230532303452,0.136798915624414,0.313905705889689,0.435796205859626,0.663362876034943,-0.353294663312721,0.408220413738963,-0.865450750188687,0.387626088413495,-0.0520685231882332,0.543852978475953,-0.0957400717637798,0.923804167604864,0.314808252666656,0.327028518608758,0.962632415074718,0.336667703324427,0.0927362492492437,0.33011887024287,0.280917746934664,0.779007213942667,1.18307125130225,0.308576560434695,3.83396344050126,0.000159854775780741,0.716634073150209,0.325644367095367,2.20066472987797,0.0286800087625655,-0.0311391357782565,0.210042444734633,-0.148251634652213,0.882264397326629,0.123186110522489,0.187770519997542,0.656046063695735,0.512401395076226,-0.150996763508744,0.189902965893122,-0.795125883361533,0.427298983707671,0.895521371774142,0.82629410874528,0.62548755175814,0.999965736611474,0.569128736572246,0.999981664608553,0.00162138415434751,0.148122517434437,0.942551424956982,0.830796202439876,0.705540182401038
"9","k__813809114",0.0384049520007014,0.118648854552074,0.323685821879096,0.746450194793262,-0.620862946683293,1.35538906725668,-0.45806990898925,0.647305519131902,-0.0472932679308257,1.03368397515277,-0.0457521535281964,0.963544815628488,0.26077930026062,0.985278404190598,0.26467574966778,0.791480303613655,1.70090772999188,0.962328698059699,1.7674914334586,0.078382431081266,1.5122339821332,0.963125171225828,1.57013234345074,0.117666271080639,2.52320409145842,0.963873008345857,2.61777648052267,0.0093977741026498,2.11923897015485,0.966157736388588,2.1934709937493,0.0292072569589031,-0.144176247225118,0.169054078971051,-0.852840984983313,0.394574896424571,0.158064578954658,0.164237247226927,0.962416148733058,0.336783180925153,-0.150076109334863,0.168346717198203,-0.891470364451308,0.373545704016614,0.891098600704278,0.820690926042233,0.999999914730711,0.999965736611474,0.179521051831287,0.314517216782747,0.0535420967863117,0.148122517434437,0.737232043319593,0.724594116535936,0.651312561379123
"10","k__813809140",0.0124970455145636,0.0936002767496802,0.133515048764065,0.893890429364041,1.17610964916637,0.183936709757964,6.39409963739144,7.55722740198307e-10,0.280916338072004,0.201015271733037,1.39748754236485,0.163470814996297,-0.211718626997809,0.226219539005631,-0.935898941039477,0.350202781155129,0.933296854696724,0.199925803953026,4.66821608938488,4.89469143647221e-06,0.967989151865787,0.199166408339981,4.86020288227224,2.04124049804005e-06,0.59198768470952,0.246847854888084,2.39818849136006,0.0171892237040474,1.08326482787116,0.228317765016348,4.74454901831049,3.46824442447463e-06,-0.249585888586943,0.132081045510729,-1.88964198172302,0.0599300182163223,-0.300434450698167,0.132628730169951,-2.26522903682475,0.02433046926389,-0.188223689780043,0.131253100962471,-1.43405137402324,0.152771768166378,0.919800296881839,8.94271909234663e-09,0.305432312229923,0.592009463381289,4.34403864986908e-05,2.07040107658348e-05,0.0871739202133835,6.15613385344246e-05,0.223949015439941,0.207163616695908,0.451949814158868
