"","id","Estimate.TreatmentEcN","Std. Error.TreatmentEcN","t value.TreatmentEcN","Pr(>|t|).TreatmentEcN","Estimate.Day_of_study_factorDay_43","Std. Error.Day_of_study_factorDay_43","t value.Day_of_study_factorDay_43","Pr(>|t|).Day_of_study_factorDay_43","Estimate.Day_of_study_factorDay_59","Std. Error.Day_of_study_factorDay_59","t value.Day_of_study_factorDay_59","Pr(>|t|).Day_of_study_factorDay_59","Estimate.Day_of_study_factorDay_69","Std. Error.Day_of_study_factorDay_69","t value.Day_of_study_factorDay_69","Pr(>|t|).Day_of_study_factorDay_69","Estimate.department_pre_weaningd2","Std. Error.department_pre_weaningd2","t value.department_pre_weaningd2","Pr(>|t|).department_pre_weaningd2","Estimate.department_pre_weaningd6","Std. Error.department_pre_weaningd6","t value.department_pre_weaningd6","Pr(>|t|).department_pre_weaningd6","Estimate.department_pre_weaningd7","Std. Error.department_pre_weaningd7","t value.department_pre_weaningd7","Pr(>|t|).department_pre_weaningd7","pval.adjust.TreatmentEcN","pval.adjust.Day_of_study_factorDay_43","pval.adjust.Day_of_study_factorDay_59","pval.adjust.Day_of_study_factorDay_69","pval.adjust.department_pre_weaningd2","pval.adjust.department_pre_weaningd6","pval.adjust.department_pre_weaningd7"
"1","k__813809363",0.126460798846539,0.0970175659639867,1.30348352476171,0.196839329735949,0.275155130913509,0.105114451811198,2.61767174895922,0.01091917461179,-0.156715519376515,0.38709377792454,-0.404851558753458,0.686867114600034,-0.468291496165914,0.152268711481217,-3.0754282453075,0.00303403524627324,0.338864558256952,0.164767441539897,2.05662329335191,0.0435917175039873,0.163607083630564,0.158211398206126,1.03410427747695,0.304779141875605,0.276909824901166,0.167314775233363,1.65502314135106,0.10256375513516,0.468150244729421,0.03500802558743,0.767965765137163,0.0109983777677405,0.172385428311223,0.600142956514824,0.313067738471336
"2","k__813809115",0.0472754620800374,0.123908726834904,0.381534564091092,0.703959190298659,-0.0670489774610499,0.138970147092184,-0.482470364060088,0.630973106912057,-0.909237517865044,0.223317764751215,-4.07149659086894,0.000120935741977129,-0.515994961815496,0.195253782497511,-2.64268868554223,0.0101354301291062,0.41021180308839,0.181062526072627,2.26558091277179,0.0265644109689589,0.278270305775821,0.188090999310842,1.47944509197884,0.143495736373793,0.290215624975568,0.186956146074105,1.55231925277564,0.125083448007308,0.870181835071731,0.751981647963684,0.000876784129334187,0.0293927473744079,0.128394653016635,0.402713840790968,0.32976545383745
"3","k__813809492",-0.122896208191307,0.108211513755801,-1.13570362270918,0.259793010279362,0.585123514227667,0.213243757623434,2.7439186063347,0.007634077306483,0.835987102970572,0.20996978301284,3.981463861014,0.000160050216529979,1.41417844053436,0.182321279265268,7.75651885634701,4.01852981579165e-11,-0.206434401312017,0.166624336112175,-1.2389210731681,0.219340817419559,0.385981405674846,0.159802643343941,2.41536308535337,0.0182219245429065,0.0727409423412396,0.143085265229041,0.508374794740752,0.612722382215727,0.513681633961467,0.0305633244209708,0.000989830223061523,1.74806046986937e-09,0.424058913677813,0.132108952936072,0.795624585862213
"4","k__813809121",-0.118823066645796,0.157179939453379,-0.755968395579129,0.451689612787295,-0.576670682828186,0.234742766598265,-2.45660682620773,0.0159914307518544,0.177904526615901,0.197542191536146,0.90059002197183,0.370267508116517,-0.145683377301188,0.220003447491291,-0.66218679280903,0.509584176155656,-0.0229959596784989,0.234961597433373,-0.0978711411979556,0.922257476315912,0.0588437478513074,0.233869153043236,0.251609701773832,0.801930155988246,0.543480738802827,0.213507258260802,2.54549069305624,0.0126561837197118,0.680943474553,0.0434767023566041,0.519568922679628,0.649123474378699,0.98624903139915,0.894460558602274,0.0917573319679104
"5","k__813809186",-0.112676379650278,0.144889256410549,-0.777672426801651,0.439087065449267,-0.737127678548499,0.210944985811545,-3.49440720628001,0.000782277569421054,0.254061385051024,0.197369887738271,1.28723478521673,0.201774635079862,0.523707111386255,0.188609971493876,2.77666714669569,0.00685690252201128,-0.496526034554004,0.208144690274398,-2.38548499075057,0.0194538054608953,-0.454051931919929,0.193381533690999,-2.34795910061119,0.0213813869219119,-0.319377642846619,0.19642952095002,-1.62591468584746,0.107954392576323,0.680943474553,0.00425363428372698,0.333551731174665,0.0205707075660339,0.128394653016635,0.136311136820834,0.313067738471336
"6","k__813809400",-0.0974596501738247,0.129402817332972,-0.753149368634277,0.453962316368667,-0.401424576712214,0.149937994140703,-2.6772705544901,0.00929756990666692,-0.887027334848965,0.219307711251843,-4.04467006556986,0.000136317511348594,-0.447027135318426,0.198707812491805,-2.24967065820253,0.0277136585082513,0.27689851443685,0.185255404849863,1.49468521396856,0.139627370289935,-0.077921456829705,0.198487629037904,-0.392575886000558,0.695861805928119,0.485700250800668,0.18241583904735,2.66259911056623,0.00967182482690402,0.680943474553,0.0337953050659775,0.000912278729794439,0.0669746747282741,0.357281800447774,0.801675700126141,0.0764953418127863
"7","k__8138092461",-0.0261125848087634,0.116309446222227,-0.224509579031708,0.823083253893441,0.863888751471338,0.156010582822555,5.53737275921801,6.29989407664906e-07,0.789923610419519,0.147633303278038,5.3505787168621,1.28681192944373e-06,0.466207881418882,0.214172832794837,2.17678346658223,0.0332303277778871,-0.207594100632509,0.165038949894952,-1.25784913661075,0.213062388041885,-0.487904502814725,0.167388923090204,-2.91479563765279,0.00491431611674206,-0.11893337089575,0.16865164770552,-0.705201357435993,0.483269444995929,0.924856579364612,9.45472847468842e-06,2.7988159465401e-05,0.0781361761263832,0.421282449082818,0.0682637935369298,0.682655914341571
"8","k__813809169",-0.314815904315313,0.132591264608057,-2.37433367308108,0.0197546308364625,-0.141705880414597,0.16367999862644,-0.865749521039565,0.38898172172523,-0.218664933336866,0.207862878634459,-1.05196721402768,0.295694705983987,0.210864571525676,0.184150029073996,1.14506944465887,0.255285102505289,0.133688142813921,0.181679946312349,0.735844244383917,0.463782360800557,0.156273824120985,0.184796704375472,0.845652657330222,0.400040082759638,-0.174748998445891,0.193919540669378,-0.901141771699163,0.369972627721814,0.171865288277224,0.528605304903622,0.459382846796551,0.403814616690185,0.650791377252394,0.682421317648794,0.59606701132959
"9","k__813809265",-0.139985690448069,0.173435388386146,-0.807134528602642,0.422194834917092,-0.186556009708731,0.258016211988439,-0.723039875172998,0.471951438360194,0.85227010389394,0.224731296887661,3.79239614462766,0.000303781712791846,0.423720219144922,0.250292447165223,1.69290054072313,0.0947118917843236,-0.0290043866057698,0.248150626678998,-0.11688218157631,0.907272406970136,0.281428556473314,0.225614070407583,1.24738920744127,0.216217178645233,-0.181598069167765,0.250023445565699,-0.726324160347781,0.469948241572846,0.680943474553,0.612832464736371,0.00155464758899357,0.183086549577446,0.98624903139915,0.495023540582506,0.681424950280626
"10","k__813809114",0.0322955219571281,0.147101633038143,0.219545638550144,0.826757648515885,-0.197213658408166,0.191361087214989,-1.03058391483009,0.305694198552885,0.69048231098211,0.203195101680674,3.39812478387014,0.0010393932081579,0.286571294509512,0.217415092828996,1.3180837207788,0.191058683968101,-0.153581126061416,0.208234060121595,-0.737540851730664,0.462848773038835,0.00596453793908832,0.204532349588893,0.0291618316177219,0.976804694723126,-0.131429873310729,0.207762775804162,-0.632595867099001,0.528715822965602,0.924856579364612,0.435990086460671,0.00452136045548686,0.319655875100477,0.650791377252394,0.988162888847814,0.718723071843866
"11","k__813809129",0.276389262763436,0.139796531134185,1.97708241056525,0.0520050148271759,-0.156636931926132,0.160484080792734,-0.976027847450048,0.332439603941599,-0.892661327739857,0.318701773724739,-2.80092990166677,0.00659583666305164,0.0703401627260999,0.190777650357529,0.368702322280824,0.713471672974117,0.167207526402772,0.202603164801669,0.82529572806256,0.412030768015178,0.442682435839817,0.211569249714521,2.09237607278537,0.0400628947064513,-0.0403630768783696,0.209997667169657,-0.19220726316812,0.84814099909822,0.251357571664683,0.459083262586017,0.0212532514698331,0.785721968971496,0.632941227501746,0.183445886287435,0.938310369895029
"12","k__813809140",0.131873059902664,0.125124254462171,1.05393682839112,0.295098979769395,0.0308807266140721,0.151690553189403,0.203577124381068,0.839203262206376,-0.385426014997889,0.202631469566511,-1.90210343843643,0.0607731311359537,0.157376679776956,0.179617332394297,0.876177580855519,0.38356870657637,-0.399330469375339,0.172346409922429,-2.31702226669573,0.0230724591922491,-0.459137632549195,0.174267431172075,-2.63467263768773,0.0101173279865515,-0.33707534256887,0.170039136322103,-1.98233977106513,0.0508901829504057,0.54802437528781,0.880365480952871,0.139138484442841,0.575353059864554,0.128394653016635,0.0841552083453929,0.221372295834265
