"","id","Estimate.TreatmentEcN","Std. Error.TreatmentEcN","t value.TreatmentEcN","Pr(>|t|).TreatmentEcN","Estimate.Day_of_study_factorDay_8","Std. Error.Day_of_study_factorDay_8","t value.Day_of_study_factorDay_8","Pr(>|t|).Day_of_study_factorDay_8","Estimate.Day_of_study_factorDay_14","Std. Error.Day_of_study_factorDay_14","t value.Day_of_study_factorDay_14","Pr(>|t|).Day_of_study_factorDay_14","Estimate.Day_of_study_factorDay_26","Std. Error.Day_of_study_factorDay_26","t value.Day_of_study_factorDay_26","Pr(>|t|).Day_of_study_factorDay_26","Estimate.department_pre_weaningd2","Std. Error.department_pre_weaningd2","t value.department_pre_weaningd2","Pr(>|t|).department_pre_weaningd2","Estimate.department_pre_weaningd6","Std. Error.department_pre_weaningd6","t value.department_pre_weaningd6","Pr(>|t|).department_pre_weaningd6","Estimate.department_pre_weaningd7","Std. Error.department_pre_weaningd7","t value.department_pre_weaningd7","Pr(>|t|).department_pre_weaningd7","pval.adjust.TreatmentEcN","pval.adjust.Day_of_study_factorDay_8","pval.adjust.Day_of_study_factorDay_14","pval.adjust.Day_of_study_factorDay_26","pval.adjust.department_pre_weaningd2","pval.adjust.department_pre_weaningd6","pval.adjust.department_pre_weaningd7"
"1","k__813809363",-0.0862865197623,0.122969103060992,-0.701692682262655,0.483957272244554,1.54157831115006,14433.7567305138,0.000106803678344604,0.999914924792047,1.2735483613692,14433.7567304242,8.82340187073228e-05,0.999929716582697,1.55434741002428,14433.7567304817,0.000107688347465477,0.999914220102749,-0.0352499127946871,0.165504312269744,-0.212984860099812,0.831627731054222,0.23455073344644,0.166112007860606,1.41200348167042,0.160018478417572,-0.33074665390587,0.182402267548862,-1.81328148136793,0.0717859619375937,0.692316694547859,0.999968495155834,0.999929716582697,0.999948318489418,0.94146535591044,0.436414032047924,0.391559792386875
"2","k__813809115",0.042595542787794,0.0982134570221428,0.433703731436626,0.665110399031401,0.704565115919849,0.471679107026163,1.49373823310085,0.137289661255879,1.85570074258169,0.459192557828423,4.04122564912096,8.37117463762633e-05,2.05966042244214,0.458553747281745,4.49164451201539,1.37900695972576e-05,-0.103054788460115,0.136808903724928,-0.753275449581262,0.452434202125853,-0.147905750465432,0.13590835470413,-1.08827563093836,0.27817326693344,-0.223991854015565,0.137635504241716,-1.62742785918225,0.105690088223645,0.755974271981144,0.208974293115604,0.000295453222504459,5.1712760989716e-05,0.775601489358606,0.618162815407644,0.484905974740297
"3","k__813809121",0.174629976270747,0.140813359837587,1.24015204574455,0.216834905499952,0.329967462200573,0.179814021629451,1.83504856412448,0.0684580659638119,-0.651235790027346,0.209766953141377,-3.10456809461512,0.00227435618867236,-1.07049860291483,0.294169219839806,-3.63905715049924,0.000374655409326792,-0.0011403222638825,0.193159003637292,-0.00590354186141777,0.995297442615857,-0.108399929824699,0.193833546072684,-0.559242360370639,0.576821433090042,-0.13789196286786,0.184829388850255,-0.746049985479192,0.456792320958212,0.464646226071326,0.124469210843294,0.00568589047168091,0.00102178747998216,0.998310613553626,0.829415312061229,0.790137191612737
"4","k__8138092461",0.713475730739891,0.138424966839834,5.15424165906012,8.18839932934165e-07,1.31371400547814,0.163871170185887,8.01674879106517,3.28861281221818e-13,-0.728073312103663,0.288940782196869,-2.51980113907074,0.0128247843626091,1.07578556485593,0.280062715463494,3.84123092956355,0.000182396911945574,-0.214472432897019,0.175265129256673,-1.22370281987427,0.223047500775308,-0.112620539466212,0.155901732549032,-0.722381577323345,0.471222403846019,-0.674614254814873,0.19416251673993,-3.47448243946323,0.000675124680900545,1.63767986586833e-05,3.94633537466181e-12,0.0295956562214057,0.000547190735836723,0.580695026858619,0.807809835164604,0.0101268702135082
"5","k__813809169",-0.0698783596087226,0.15356711101316,-0.455034669518101,0.64971485270068,-0.398647066594205,0.185860827930418,-2.14486866884855,0.0335063204009181,-1.17485779491945,0.231835371196174,-5.06763825061582,1.12315398347818e-06,-0.92721634267874,0.241090383524942,-3.84592835733248,0.000174393445197918,0.0824792883912561,0.223551791975521,0.368949350226133,0.712664100958347,0.00198638011490223,0.213733536188655,0.00929372222218285,0.992596624784937,-0.0804466154243215,0.201206571574603,-0.399821013770882,0.68983346688244,0.755974271981144,0.069323421519141,6.1262944553355e-06,0.000547190735836723,0.888573403892018,0.994510937563802,0.844694041080539
"6","k__8138091818",-0.0719453227753847,0.135870673517119,-0.529513256341662,0.597184102279082,0.0918805381457456,0.390145675040949,0.235503156958236,0.814119683860836,0.375202181136712,0.382179568221414,0.981743170841986,0.327710001474208,0.236805189975312,0.385445689681013,0.614367202215407,0.539846181688392,0.231462377242199,0.150773325647605,1.53516794995413,0.126719582883926,-0.24329916986221,0.182850695707575,-1.33058924889905,0.185219274919583,-0.209415478371518,0.20778119070694,-1.00786542640851,0.315042320489625,0.755974271981144,0.888130564211821,0.435356337167233,0.675164278302057,0.422398609613086,0.463048187298959,0.675090686763483
"7","k__813809140",-0.0357420586010603,0.124068478406706,-0.288083315440486,0.773658465294096,1.19488188525848,0.18257062669067,6.54476520630546,7.80754053647156e-10,0.28232723686969,0.199986132524786,1.41173407028459,0.159983932387469,-0.253663521801352,0.225726361801039,-1.12376560618532,0.262807734260084,-0.141436303664449,0.178713582381975,-0.791413286999917,0.429882883289839,-0.179792416048362,0.178826133231855,-1.00540347654475,0.316231531387494,-0.0578523033835819,0.178729341944659,-0.323686658016651,0.746600998372421,0.859620516993441,5.85565540235367e-09,0.239975898581203,0.375439620371548,0.771820076056979,0.632463062774987,0.87835411573226
"8","k__813809372",-0.269292923770133,0.114350019138021,-2.3549880078734,0.0198206552532952,0.961477028163165,0.252584347122838,3.80655824129742,0.000204947140239217,-0.0704938191935507,0.268276584383785,-0.262765456610649,0.793092583715828,0.208693288791584,0.282857489133833,0.737803653106889,0.461788544057987,-0.0715554556034021,0.164720466809609,-0.434405371653717,0.664619491317497,0.275487449213509,0.156523663295076,1.76003706669045,0.0804436327559648,-0.0869468730431295,0.164574271232821,-0.528313887655785,0.598063692468389,0.118923931519771,0.000768551775897065,0.865191909508176,0.602332883553896,0.888573403892018,0.327201417054077,0.790137191612737
"9","k__813809783",-0.242569491343534,0.11726984217927,-2.06847290689381,0.0403438812743614,-0.480374502959948,0.192746648810354,-2.49225865105751,0.0138009986456163,-0.407387811772603,0.191890083463118,-2.1230269142642,0.0354232440184453,-0.833977107385556,0.207013082978215,-4.02862029485024,8.95731966303788e-05,0.0729358513810636,0.168616522635556,0.432554593352074,0.665970979169535,0.307616902846837,0.161892315013322,1.90013283102118,0.059369696166275,0.0163071025103539,0.167340698366088,0.0974485147341694,0.922502684511619,0.186202528958591,0.0318484584129606,0.0644058982153551,0.000316140693989572,0.888573403892018,0.274013982305885,0.971055457380651
"10","k__8138091467",-0.0555312227665311,0.100511132763045,-0.552488279059056,0.581442868172777,-0.0988221236334187,0.183902272751204,-0.537362166084333,0.591820199067853,0.405164263233476,0.182408002018076,2.2211978572811,0.0278480782515439,0.221363111266633,0.191082569542254,1.1584683615932,0.248528952184346,-0.147981193683647,0.144091221316451,-1.02699659515449,0.306088743673487,-0.0530660849539874,0.141398733111427,-0.375293920859739,0.707976334510646,-0.177717497895104,0.145343783363616,-1.2227389007103,0.223361553306261,0.755974271981144,0.657577998964281,0.0576167136238839,0.363700905635629,0.661839622041901,0.891985945177741,0.607272736462785
