id,group,time,score
1,Control,t1,-0.968187729
2,Control,t1,-0.884056823
3,Control,t1,-0.984430694
4,Control,t1,-0.988218169
5,Control,t1,-1.343422709
6,Control,t1,-0.97798426
7,Control,t1,-1.095825632
8,Control,t1,-1.068542129
9,Control,t1,-0.849857838
10,Control,t1,-1.026410377
11,Control,t1,-0.755475488
12,Control,t1,-1.051587034
13,Control,t1,-1.096910013
14,Control,t1,-1.012333735
15,Control,t1,-1.049148541
16,Control,t1,-1.094743951
1,EcN,t1,-0.632830511
2,EcN,t1,-0.423083044
3,EcN,t1,-0.780415474
4,EcN,t1,-0.852323676
5,EcN,t1,-0.76649624
6,EcN,t1,-0.827251161
7,EcN,t1,-0.765735876
8,EcN,t1,-0.957030927
9,EcN,t1,-1.181774106
10,EcN,t1,-1.181774106
11,EcN,t1,-0.790216985
12,EcN,t1,-0.770318158
13,EcN,t1,-0.929592678
14,EcN,t1,-1.149966742
15,EcN,t1,-0.885722703
16,EcN,t1,-0.722390786
1,Control,t2,-0.872247484
2,Control,t2,-0.612432221
3,Control,t2,-0.324130045
4,Control,t2,-1.075204004
5,Control,t2,-0.769295686
6,Control,t2,-0.203981031
7,Control,t2,-0.658367664
8,Control,t2,-0.205721134
9,Control,t2,-0.315334136
10,Control,t2,-0.635824367
11,Control,t2,-0.646853454
12,Control,t2,-0.545765104
13,Control,t2,-0.204606665
14,Control,t2,-0.281498311
15,Control,t2,-0.645891561
16,Control,t2,0.071440127
1,EcN,t2,0.346118157
2,EcN,t2,-0.288277108
3,EcN,t2,-0.954677021
4,EcN,t2,-0.977571629
5,EcN,t2,-0.324955264
6,EcN,t2,-0.627272059
7,EcN,t2,-0.742801574
8,EcN,t2,-0.364516253
9,EcN,t2,-0.705754284
10,EcN,t2,-1.022276395
11,EcN,t2,-0.696372024
12,EcN,t2,-0.552997102
13,EcN,t2,0.171931123
14,EcN,t2,-0.710411047
15,EcN,t2,-0.367239112
16,EcN,t2,-0.564155634
1,Control,t3,-0.068542129
2,Control,t3,-0.325138859
3,Control,t3,0.005352136
4,Control,t3,0.10002573
5,Control,t3,-0.894830572
6,Control,t3,-0.129771721
7,Control,t3,-0.319211388
8,Control,t3,0.084433277
9,Control,t3,-0.242224509
10,Control,t3,-0.393726147
11,Control,t3,-0.191249028
12,Control,t3,-0.704652852
13,Control,t3,-0.65678841
14,Control,t3,-0.191181575
15,Control,t3,-0.085445301
16,Control,t3,-0.029374223
1,EcN,t3,-0.158077688
2,EcN,t3,-0.135666945
3,EcN,t3,-0.704872915
4,EcN,t3,-0.647431614
5,EcN,t3,-0.093018847
6,EcN,t3,-0.563360368
7,EcN,t3,-0.294478387
8,EcN,t3,-0.309981219
9,EcN,t3,-0.196133366
10,EcN,t3,-0.232695683
11,EcN,t3,-0.182236368
12,EcN,t3,-0.297655642
13,EcN,t3,-0.198802166
14,EcN,t3,-0.538951908
15,EcN,t3,-0.233735909
16,EcN,t3,-0.796151536
