id,group,time,score,ear_tag,department
1,Control,t1,,81050,1
2,Control,t1,,81323,1
3,Control,t1,0.36255,81465,7
4,Control,t1,1.27105,81062,7
5,Control,t1,0.30345,81116,2
6,Control,t1,0.30285,81112,2
7,Control,t1,2.2046,81049,6
8,Control,t1,0.3074,81423,6
9,Control,t1,2.1982,81048,7
10,Control,t1,0.4123,81410,1
11,Control,t1,0.3423,81369,7
12,Control,t1,0.5858,81257,1
13,Control,t1,1.0469,81320,2
14,Control,t1,1.3007,81169,6
15,Control,t1,1.2981,81019,6
16,Control,t1,0.6492,81394,2
1,EcN,t1,,80637,1
2,EcN,t1,,81078,1
3,EcN,t1,0.70285,81411,7
4,EcN,t1,0.5478,81353,7
5,EcN,t1,0.4436,81366,2
6,EcN,t1,2.62085,81208,2
7,EcN,t1,0.3914,81221,6
8,EcN,t1,1.5743,81047,6
9,EcN,t1,0.4198,81398,6
10,EcN,t1,0.5644,81399,6
11,EcN,t1,0.5746,81381,7
12,EcN,t1,0.7887,80636,2
13,EcN,t1,1.558,81045,1
14,EcN,t1,0.69,81395,1
15,EcN,t1,0.0627,81290,2
16,EcN,t1,0.2635,81305,7
1,Control,t2,0.7074,81050,1
2,Control,t2,0.3569,81323,1
3,Control,t2,0.49415,81465,7
4,Control,t2,0.38825,81062,7
5,Control,t2,0.2862,81116,2
6,Control,t2,0.29015,81112,2
7,Control,t2,0.6463,81049,6
8,Control,t2,0.1321,81423,6
9,Control,t2,0.9187,81048,7
10,Control,t2,0.4602,81410,1
11,Control,t2,0.5759,81369,7
12,Control,t2,0.2292,81257,1
13,Control,t2,1.0227,81320,2
14,Control,t2,1.2237,81169,6
15,Control,t2,0.3438,81019,6
16,Control,t2,0.763,81394,2
1,EcN,t2,2.6258,80637,1
2,EcN,t2,0.1502,81078,1
3,EcN,t2,0.23855,81411,7
4,EcN,t2,0.1736,81353,7
5,EcN,t2,0.4171,81366,2
6,EcN,t2,1.3,81208,2
7,EcN,t2,0.217,81221,6
8,EcN,t2,0.6192,81047,6
9,EcN,t2,0.1898,81398,6
10,EcN,t2,0.319,81399,6
11,EcN,t2,0.2102,81381,7
12,EcN,t2,0.4737,80636,2
13,EcN,t2,1.6127,81045,1
14,EcN,t2,0.2008,81395,1
15,EcN,t2,0.0931,81290,2
16,EcN,t2,0.1156,81305,7
1,Control,t3,3.0931,81050,1
2,Control,t3,2.2568,81323,1
3,Control,t3,2.31025,81465,7
4,Control,t3,3.12275,81062,7
5,Control,t3,1.03015,81116,2
6,Control,t3,2.0731,81112,2
7,Control,t3,3.0849,81049,6
8,Control,t3,2.6672,81423,6
9,Control,t3,2.447,81048,7
10,Control,t3,2.4238,81410,1
11,Control,t3,3.4369,81369,7
12,Control,t3,0.8235,81257,1
13,Control,t3,1.6456,81320,2
14,Control,t3,4,81169,6
15,Control,t3,2.4303,81019,6
16,Control,t3,3.4379,81394,2
1,EcN,t3,4,80637,1
2,EcN,t3,1.4069,81078,1
3,EcN,t3,1.2074,81411,7
4,EcN,t3,0.91535,81353,7
5,EcN,t3,1.6705,81366,2
6,EcN,t3,2.44945,81208,2
7,EcN,t3,2.3546,81221,6
8,EcN,t3,2.1715,81047,6
9,EcN,t3,2.7619,81398,6
10,EcN,t3,3.3151,81399,6
11,EcN,t3,2.2366,81381,7
12,EcN,t3,2.8835,80636,2
13,EcN,t3,2.7107,81045,1
14,EcN,t3,1.347,81395,1
15,EcN,t3,2.0496,81290,2
16,EcN,t3,1.1735,81305,7
