id,group,time,score
1,Control,t1,NA
2,Control,t1,NA
3,Control,t1,-0.440632091
4,Control,t1,0.104162635
5,Control,t1,-0.517912858
6,Control,t1,-0.518772422
7,Control,t1,0.343329803
8,Control,t1,-0.512296137
9,Control,t1,0.342067204
10,Control,t1,-0.384786665
11,Control,t1,-0.465593101
12,Control,t1,-0.232250633
13,Control,t1,0.0199052
14,Control,t1,0.11417714
15,Control,t1,0.11330815
16,Control,t1,-0.187621489
1,EcN,t1,NA
2,EcN,t1,NA
3,EcN,t1,-0.153137351
4,EcN,t1,-0.261377972
5,EcN,t1,-0.353008463
6,EcN,t1,0.418442166
7,EcN,t1,-0.407379179
8,EcN,t1,0.197087495
9,EcN,t1,-0.376957566
10,EcN,t1,-0.248412995
11,EcN,t1,-0.240634378
12,EcN,t1,-0.103088159
13,EcN,t1,0.192567453
14,EcN,t1,-0.161150909
15,EcN,t1,-1.202732459
16,EcN,t1,-0.57921938
1,Control,t2,-0.150334945
2,Control,t2,-0.447453452
3,Control,t2,-0.3061412
4,Control,t2,-0.410888536
5,Control,t2,-0.543330371
6,Control,t2,-0.537377425
7,Control,t2,-0.189565844
8,Control,t2,-0.879097182
9,Control,t2,-0.036826284
10,Control,t2,-0.337053386
11,Control,t2,-0.239652921
12,Control,t2,-0.639785387
13,Control,t2,0.009748256
14,Control,t2,0.08767496
15,Control,t2,-0.463694128
16,Control,t2,-0.117475462
1,EcN,t2,0.419261644
2,EcN,t2,-0.823330067
3,EcN,t2,-0.622420579
4,EcN,t2,-0.760450279
5,EcN,t2,-0.37975981
6,EcN,t2,0.113943352
7,EcN,t2,-0.663540266
8,EcN,t2,-0.208169052
9,EcN,t2,-0.721703792
10,EcN,t2,-0.496209317
11,EcN,t2,-0.677367288
12,EcN,t2,-0.324496615
13,EcN,t2,0.207553586
14,EcN,t2,-0.697236292
15,EcN,t2,-1.031050319
16,EcN,t2,-0.937042166
1,Control,t3,0.490393961
2,Control,t3,0.353493073
3,Control,t3,0.363658979
4,Control,t3,0.494537217
5,Control,t3,0.012900467
6,Control,t3,0.316620252
7,Control,t3,0.489241091
8,Control,t3,0.426055582
9,Control,t3,0.388633969
10,Control,t3,0.384496781
11,Control,t3,0.536166896
12,Control,t3,-0.084336396
13,Control,t3,0.216324279
14,Control,t3,0.602059991
15,Control,t3,0.385659887
16,Control,t3,0.53629324
1,EcN,t3,0.602059991
2,EcN,t3,0.14826323
3,EcN,t3,0.081851172
4,EcN,t3,-0.038412814
5,EcN,t3,0.22284648
6,EcN,t3,0.389068579
7,EcN,t3,0.37191714
8,EcN,t3,0.336759834
9,EcN,t3,0.44120795
10,EcN,t3,0.520496633
11,EcN,t3,0.349588321
12,EcN,t3,0.459919956
13,EcN,t3,0.433081456
14,EcN,t3,0.129367596
15,EcN,t3,0.311669112
16,EcN,t3,0.069483094
