id,group,time,score,ear_tag,department
1,Control,t1,0.9624,81050,1
2,Control,t1,0.7518,81323,1
3,Control,t1,1.0078,81465,7
4,Control,t1,0.5693,81062,7
5,Control,t1,0.77985,81116,2
6,Control,t1,0.92705,81112,2
7,Control,t1,0.7722,81049,6
8,Control,t1,1.0022,81423,6
9,Control,t1,1.3701,81048,7
10,Control,t1,0.4044,81410,1
11,Control,t1,1.1965,81369,7
12,Control,t1,0.881,81257,1
13,Control,t1,0.5741,81320,2
14,Control,t1,1.0628,81169,6
15,Control,t1,0.6704,81019,6
16,Control,t1,0.7636,81394,2
1,EcN,t1,0.7627,80637,1
2,EcN,t1,0.5589,81078,1
3,EcN,t1,0.5156,81411,7
4,EcN,t1,0.6301,81353,7
5,EcN,t1,0.9996,81366,2
6,EcN,t1,0.6391,81208,2
7,EcN,t1,0.9737,81221,6
8,EcN,t1,0.9662,81047,6
9,EcN,t1,0.5116,81398,6
10,EcN,t1,0.7039,81399,6
11,EcN,t1,0.5961,81381,7
12,EcN,t1,0.7697,80636,2
13,EcN,t1,0.7837,81045,1
14,EcN,t1,0.5776,81395,1
15,EcN,t1,0.4753,81290,2
16,EcN,t1,0.4698,81305,7
1,Control,t2,1.699,81050,1
2,Control,t2,1.5414,81323,1
3,Control,t2,1.34215,81465,7
4,Control,t2,1.1262,81062,7
5,Control,t2,1.48775,81116,2
6,Control,t2,1.37815,81112,2
7,Control,t2,1.3796,81049,6
8,Control,t2,1.7341,81423,6
9,Control,t2,1.4446,81048,7
10,Control,t2,1.415,81410,1
11,Control,t2,1.6776,81369,7
12,Control,t2,1.3131,81257,1
13,Control,t2,1.9473,81320,2
14,Control,t2,1.3764,81169,6
15,Control,t2,0.8829,81019,6
16,Control,t2,1.2724,81394,2
1,EcN,t2,1.8178,80637,1
2,EcN,t2,0.9537,81078,1
3,EcN,t2,0.9442,81411,7
4,EcN,t2,0.88735,81353,7
5,EcN,t2,1.33655,81366,2
6,EcN,t2,1.49325,81208,2
7,EcN,t2,1.085,81221,6
8,EcN,t2,1.3882,81047,6
9,EcN,t2,1.0797,81398,6
10,EcN,t2,1.2001,81399,6
11,EcN,t2,1.175,81381,7
12,EcN,t2,1.5047,80636,2
13,EcN,t2,1.237,81045,1
14,EcN,t2,1.2351,81395,1
15,EcN,t2,1.4055,81290,2
16,EcN,t2,1.0908,81305,7
1,Control,t3,2.0296,81050,1
2,Control,t3,1.4666,81323,1
3,Control,t3,1.59045,81465,7
4,Control,t3,1.87885,81062,7
5,Control,t3,1.7867,81116,2
6,Control,t3,1.722,81112,2
7,Control,t3,1.8475,81049,6
8,Control,t3,1.7142,81423,6
9,Control,t3,1.5699,81048,7
10,Control,t3,1.6132,81410,1
11,Control,t3,1.461,81369,7
12,Control,t3,1.693,81257,1
13,Control,t3,1.5277,81320,2
14,Control,t3,1.8786,81169,6
15,Control,t3,2.2939,81019,6
16,Control,t3,1.9825,81394,2
1,EcN,t3,1.6168,80637,1
2,EcN,t3,1.8016,81078,1
3,EcN,t3,1.54105,81411,7
4,EcN,t3,0.9922,81353,7
5,EcN,t3,1.76535,81366,2
6,EcN,t3,1.5934,81208,2
7,EcN,t3,1.4022,81221,6
8,EcN,t3,1.6692,81047,6
9,EcN,t3,1.6123,81398,6
10,EcN,t3,1.9377,81399,6
11,EcN,t3,1.826,81381,7
12,EcN,t3,2.0248,80636,2
13,EcN,t3,1.8659,81045,1
14,EcN,t3,1.7928,81395,1
15,EcN,t3,1.697,81290,2
16,EcN,t3,1.3501,81305,7
