id ,group,time ,score
1,Control,t1,84.7315
2,Control,t1,60.0635
3,Control,t1,33.53
4,Control,t1,557.97
5,Control,t1,305.3645
6,Control,t1,657.4365
7,Control,t1,536.508
8,Control,t1,251.027
1,EcN,t1,299.152
2,EcN,t1,451.234
3,EcN,t1,448.7035
4,EcN,t1,508.0775
5,EcN,t1,252.1855
6,EcN,t1,1457.1935
7,EcN,t1,540.113
8,EcN,t1,842.2925
1,Control,t2,428.54
2,Control,t2,1287.4925
3,Control,t2,51.177
4,Control,t2,913.36
5,Control,t2,419.2265
6,Control,t2,1360.779
7,Control,t2,1951.3515
8,Control,t2,478.247
1,EcN,t2,845.558
2,EcN,t2,1398.5615
3,EcN,t2,2930.5255
4,EcN,t2,551.4495
5,EcN,t2,43.5365
6,EcN,t2,1450.134
7,EcN,t2,752.689
8,EcN,t2,
1,Control,t3,609.504
2,Control,t3,333.41
3,Control,t3,354.3575
4,Control,t3,1742.986
5,Control,t3,272.2475
6,Control,t3,77.8225
7,Control,t3,155.12
8,Control,t3,134.302
1,EcN,t3,323.9425
2,EcN,t3,289.3905
3,EcN,t3,527.2645
4,EcN,t3,163.4675
5,EcN,t3,214.445
6,EcN,t3,297.647
7,EcN,t3,330.2075
8,EcN,t3,122.535
