id ,group,time ,score
1,Control,t1,1.928044895
2,Control,t1,1.778610636
3,Control,t1,1.525433553
4,Control,t1,2.746610849
5,Control,t1,2.484818547
6,Control,t1,2.817853812
7,Control,t1,2.729576202
8,Control,t1,2.399720436
1,EcN,t1,2.475891911
2,EcN,t1,2.654401816
3,EcN,t1,2.651959457
4,EcN,t1,2.705929963
5,EcN,t1,2.401720112
6,EcN,t1,3.163517225
7,EcN,t1,2.73248463
8,EcN,t1,2.925462934
1,Control,t2,2.631991365
2,Control,t2,3.109744708
3,Control,t2,1.709074824
4,Control,t2,2.960641988
5,Control,t2,2.622448727
6,Control,t2,3.133787598
7,Control,t2,3.290335507
8,Control,t2,2.679652254
1,EcN,t2,2.927143403
2,EcN,t2,3.145681569
3,EcN,t2,3.466945505
4,EcN,t2,2.741505747
5,EcN,t2,1.638853512
6,EcN,t2,3.161408135
7,EcN,t2,2.876615569
8,EcN,t2,
1,Control,t3,2.78497656
2,Control,t3,2.522978622
3,Control,t3,2.549441629
4,Control,t3,3.241293899
5,Control,t3,2.4349639
6,Control,t3,1.891105178
7,Control,t3,2.190667796
8,Control,t3,2.12808248
1,EcN,t3,2.51046793
2,EcN,t3,2.46148427
3,EcN,t3,2.722028532
4,EcN,t3,2.213431421
5,EcN,t3,2.331315925
6,EcN,t3,2.47370151
7,EcN,t3,2.518786933
8,EcN,t3,2.088260155
