id,group,time,score
1,Control,t1,458.0275
2,Control,t1,189.4585
3,Control,t1,84.3885
4,Control,t1,1375.1955
5,Control,t1,900.6445
6,Control,t1,900.2455
7,Control,t1,991.466
8,Control,t1,533.659
1,EcN,t1,840.595
2,EcN,t1,1326.7275
3,EcN,t1,1291.9795
4,EcN,t1,929.8555
5,EcN,t1,714.805
6,EcN,t1,2647.295
7,EcN,t1,962.101
8,EcN,t1,1669.2935
1,Control,t2,1514.758
2,Control,t2,3280.2455
3,Control,t2,234.703
4,Control,t2,1909.4985
5,Control,t2,1452.1815
6,Control,t2,2552.9875
7,Control,t2,2851.576
8,Control,t2,1626.9365
1,EcN,t2,1873.893
2,EcN,t2,2027.949
3,EcN,t2,3907.8165
4,EcN,t2,1295.4305
5,EcN,t2,150.5665
6,EcN,t2,3677.2645
7,EcN,t2,1881.264
8,EcN,t2,
1,Control,t3,1106.798
2,Control,t3,710.563
3,Control,t3,719.271
4,Control,t3,3560.9945
5,Control,t3,699.405
6,Control,t3,217.2485
7,Control,t3,422.618
8,Control,t3,555.821
1,EcN,t3,886.018
2,EcN,t3,728.8995
3,EcN,t3,1113.2485
4,EcN,t3,618.261
5,EcN,t3,471.212
6,EcN,t3,649.327
7,EcN,t3,588.9275
8,EcN,t3,294.602
