id,group,time,score
1,Control,t1,2.660891554
2,Control,t1,2.277514095
3,Control,t1,
4,Control,t1,3.138364443
5,Control,t1,2.954553401
6,Control,t1,2.954360959
7,Control,t1,2.996277826
8,Control,t1,2.727263838
1,EcN,t1,2.924586802
2,EcN,t1,3.122781731
3,EcN,t1,3.111255623
4,EcN,t1,2.968415464
5,EcN,t1,2.854187582
6,EcN,t1,3.422802339
7,EcN,t1,2.983220666
8,EcN,t1,3.222532702
1,Control,t2,3.180343255
2,Control,t2,3.515906348
3,Control,t2,
4,Control,t2,3.280919322
5,Control,t2,3.1620209
6,Control,t2,3.407048688
7,Control,t2,3.455084951
8,Control,t2,3.211370603
1,EcN,t2,3.272744789
2,EcN,t2,3.307057029
3,EcN,t2,3.591934162
4,EcN,t2,3.112414118
5,EcN,t2,
6,EcN,t2,3.565524869
7,EcN,t2,3.274449745
8,EcN,t2,
1,Control,t3,3.044068366
2,Control,t3,2.851602589
3,Control,t3,2.856892551
4,Control,t3,
5,Control,t3,2.844728733
6,Control,t3,2.336956787
7,Control,t3,2.62594799
8,Control,t3,2.744934951
1,EcN,t3,2.947442545
2,EcN,t3,2.862667652
3,EcN,t3,3.046592119
4,EcN,t3,2.791171852
5,EcN,t3,2.673216342
6,EcN,t3,2.812463462
7,EcN,t3,2.770061834
8,EcN,t3,2.469235691
