id,group,time,score,department
1,Control,t1,0.558168366,6
2,Control,t1,0.956528592,1
3,Control,t1,0.975592629,6
4,Control,t1,,7
5,Control,t1,,2
6,Control,t1,0.600591768,1
7,Control,t1,1.250102705,7
8,Control,t1,1.264061871,2
1,EcN,t1,0.853272224,7
2,EcN,t1,1.465182018,6
3,EcN,t1,1.438771697,2
4,EcN,t1,1.347320256,7
5,EcN,t1,1.259486367,1
6,EcN,t1,1.67343564,6
7,EcN,t1,1.522796221,1
8,EcN,t1,1.65337655,2
1,Control,t2,1.224584854,3
2,Control,t2,1.099766939,3
3,Control,t2,0.896443539,2
4,Control,t2,0.905039928,4
5,Control,t2,1.136799811,2
6,Control,t2,1.252318933,1
7,Control,t2,1.34540314,1
8,Control,t2,0.857724391,4
1,EcN,t2,1.248304382,4
2,EcN,t2,0.942181736,3
3,EcN,t2,1.104094293,2
4,EcN,t2,1.071569055,2
5,EcN,t2,0.374656713,1
6,EcN,t2,0.708123336,4
7,EcN,t2,0.635031121,1
8,EcN,t2,,3
1,Control,t3,1.749407766,3
2,Control,t3,1.604954667,4
3,Control,t3,,2
4,Control,t3,1.663389931,3
5,Control,t3,0.756255649,1
6,Control,t3,1.142639708,2
7,Control,t3,1.383042999,1
8,Control,t3,1.130092427,4
1,EcN,t3,1.875980993,2
2,EcN,t3,1.738998444,3
3,EcN,t3,1.907454358,4
4,EcN,t3,1.309960021,1
5,EcN,t3,1.476288058,3
6,EcN,t3,1.260238392,4
7,EcN,t3,,2
8,EcN,t3,1.145149772,1
