id,group,time,score
1,Control,t1,3.6855
2,Control,t1,2.317
3,Control,t1,0.9835
4,Control,t1,5.684
5,Control,t1,6.09
6,Control,t1,8.904
7,Control,t1,6.3385
8,Control,t1,3.381
1,EcN,t1,4.886
2,EcN,t1,7.329
3,EcN,t1,2.835
4,EcN,t1,10.332
5,EcN,t1,7.4445
6,EcN,t1,12.1485
7,EcN,t1,10.402
8,EcN,t1,10.129
1,Control,t2,9.2995
2,Control,t2,21.8575
3,Control,t2,9.9715
4,Control,t2,16.0965
5,Control,t2,19.95
6,Control,t2,31.6855
7,Control,t2,17.9025
8,Control,t2,10.5945
1,EcN,t2,9.933
2,EcN,t2,24.227
3,EcN,t2,29.785
4,EcN,t2,11.5185
5,EcN,t2,2.751
6,EcN,t2,13.4435
7,EcN,t2,14.588
8,EcN,t2,1.848
