id,group,time,score,department
1,Control,t1,937.405,1
2,Control,t1,1249.675,1
3,Control,t1,1914.885,7
4,Control,t1,1125.39,7
5,Control,t1,921.795,2
6,Control,t1,1287.72,2
7,Control,t1,1115.66,6
8,Control,t1,471.555,6
1,EcN,t1,1519.035,1
2,EcN,t1,1007.545,1
3,EcN,t1,716.765,7
4,EcN,t1,407.68,7
5,EcN,t1,241.92,2
6,EcN,t1,479.115,2
7,EcN,t1,1282.435,6
8,EcN,t1,1040.06,6
1,Control,t2,973.105,1
2,Control,t2,1878.73,1
3,Control,t2,976.605,7
4,Control,t2,664.755,7
5,Control,t2,446.81,2
6,Control,t2,939.155,2
7,Control,t2,1335.159,6
8,Control,t2,1452.122,6
1,EcN,t2,1626.275,1
2,EcN,t2,426.09,1
3,EcN,t2,816.62,7
4,EcN,t2,435.75,7
5,EcN,t2,321.685,2
6,EcN,t2,1122.87,2
7,EcN,t2,739.753,6
8,EcN,t2,620.844,6
1,Control,t3,1457.19,1
2,Control,t3,543.585,1
3,Control,t3,625.03,7
4,Control,t3,819.945,7
5,Control,t3,978.32,2
6,Control,t3,640.465,2
7,Control,t3,574.3115,6
8,Control,t3,586.0855,6
1,EcN,t3,,1
2,EcN,t3,1040.865,1
3,EcN,t3,469.665,7
4,EcN,t3,210.56,7
5,EcN,t3,537.145,2
6,EcN,t3,877.31,2
7,EcN,t3,614.1625,6
8,EcN,t3,374.885,6
