id,group,time,score,department
1,Control,t1,2099.51,1
2,Control,t1,2994.495,1
3,Control,t1,1967.665,7
4,Control,t1,1855.21,7
5,Control,t1,1866.41,2
6,Control,t1,8508.29,2
7,Control,t1,1910.755,6
8,Control,t1,4617.655,6
1,EcN,t1,2620.905,1
2,EcN,t1,1608.46,1
3,EcN,t1,1058.435,7
4,EcN,t1,481.46,7
5,EcN,t1,1257.025,2
6,EcN,t1,1300.355,2
7,EcN,t1,2415.245,6
8,EcN,t1,1911.42,6
1,Control,t2,2952.18,1
2,Control,t2,3891.545,1
3,Control,t2,1580.005,7
4,Control,t2,1645.77,7
5,Control,t2,1791.58,2
6,Control,t2,3661.56,2
7,Control,t2,2874.095,6
8,Control,t2,2220.5435,6
1,EcN,t2,1593.69,1
2,EcN,t2,696.08,1
3,EcN,t2,3155.145,7
4,EcN,t2,663.18,7
5,EcN,t2,1076.67,2
6,EcN,t2,2035.32,2
7,EcN,t2,1509.298,6
8,EcN,t2,2155.5135,6
1,Control,t3,2470.755,1
2,Control,t3,1856.295,1
3,Control,t3,856.45,7
4,Control,t3,2434.915,7
5,Control,t3,1653.295,2
6,Control,t3,1715.945,2
7,Control,t3,2105.88,6
8,Control,t3,1449.0525,6
1,EcN,t3,,1
2,EcN,t3,1709.89,1
3,EcN,t3,1413.23,7
4,EcN,t3,924.63,7
5,EcN,t3,1466.185,2
6,EcN,t3,1564.36,2
7,EcN,t3,3143.889,6
8,EcN,t3,780.717,6
