id,group,time,score,department
1,Control,t1,3.322117948,1
2,Control,t1,3.476323592,1
3,Control,t1,3.293951161,7
4,Control,t1,3.268393077,7
5,Control,t1,3.271007053,2
6,Control,t1,3.929842284,2
7,Control,t1,3.281205005,6
8,Control,t1,3.664421482,6
1,EcN,t1,3.418451279,1
2,EcN,t1,3.206410265,1
3,EcN,t1,3.024664193,7
4,EcN,t1,2.682560212,7
5,EcN,t1,3.099343915,2
6,EcN,t1,3.114061932,2
7,EcN,t1,3.382961192,6
8,EcN,t1,3.281356126,6
1,Control,t2,3.470142834,1
2,Control,t2,3.590122057,1
3,Control,t2,3.198658461,7
4,Control,t2,3.216369142,7
5,Control,t2,3.253236206,2
6,Control,t2,3.563666155,2
7,Control,t2,3.458501119,6
8,Control,t2,3.346459285,6
1,EcN,t2,3.202403848,1
2,EcN,t2,2.842659156,1
3,EcN,t2,3.499019323,7
4,EcN,t2,2.82163142,7
5,EcN,t2,3.032082612,2
6,EcN,t2,3.3086327,2
7,EcN,t2,3.178774997,6
8,EcN,t2,3.333550747,6
1,Control,t3,3.392829683,1
2,Control,t3,3.268646995,1
3,Control,t3,2.932702014,7
4,Control,t3,3.386483805,7
5,Control,t3,3.218350352,2
6,Control,t3,3.234503364,2
7,Control,t3,3.32343362,6
8,Control,t3,3.16108412,6
1,EcN,t3,,1
2,EcN,t3,3.232968172,1
3,EcN,t3,3.150212848,7
4,EcN,t3,2.96596798,7
5,EcN,t3,3.166188772,2
6,EcN,t3,3.194336703,2
7,EcN,t3,3.497467204,6
8,EcN,t3,2.892493636,6
