id,group,time,score
1,Control,t1,44.3695
2,Control,t1,219.5025
3,Control,t1,55.475
4,Control,t1,43.582
5,Control,t1,36.3475
6,Control,t1,70.126
7,Control,t1,71.6135
8,Control,t1,70.126
1,EcN,t1,62.811
2,EcN,t1,28.5705
3,EcN,t1,36.953
4,EcN,t1,74.48
5,EcN,t1,165.389
6,EcN,t1,73.752
7,EcN,t1,55.3105
8,EcN,t1,120.722
1,Control,t2,52.0205
2,Control,t2,22.7115
3,Control,t2,20.9125
4,Control,t2,24.78
5,Control,t2,9.5865
6,Control,t2,5.1555
7,Control,t2,6.0375
8,Control,t2,53.837
1,EcN,t2,18.6165
2,EcN,t2,43.897
3,EcN,t2,6.93
4,EcN,t2,4.354
5,EcN,t2,11.1405
6,EcN,t2,15.561
7,EcN,t2,142.009
8,EcN,t2,70.4725
1,Control,t3,89.2955
2,Control,t3,64.89
3,Control,t3,61.523
4,Control,t3,442.652
5,Control,t3,59.2375
6,Control,t3,107.7895
7,Control,t3,31.2935
8,Control,t3,868.1575
1,EcN,t3,19.096
2,EcN,t3,74.291
3,EcN,t3,50.225
4,EcN,t3,130.6375
5,EcN,t3,71.9985
6,EcN,t3,104.1985
7,EcN,t3,71.9985
8,EcN,t3,104.1985
