id,group,time,score
1,Control,t1,2.231793152
2,Control,t1,2.308154468
3,Control,t1,1.919859642
4,Control,t1,1.719405873
5,Control,t1,1.538165134
6,Control,t1,1.911125635
7,Control,t1,1.921520007
8,Control,t1,1.911125635
1,EcN,t1,2.036143636
2,EcN,t1,1.281021998
3,EcN,t1,1.487908671
4,EcN,t1,1.935461919
5,EcN,t1,2.051438098
6,EcN,t1,2.167151858
7,EcN,t1,1.614733798
8,EcN,t1,2.074408641
1,Control,t2,1.858124964
2,Control,t2,1.692207781
3,Control,t2,1.560976088
4,Control,t2,1.712123348
5,Control,t2,1.449162013
6,Control,t2,1.235679919
7,Control,t2,1.176221528
8,Control,t2,1.98755008
1,EcN,t2,1.507241761
2,EcN,t2,2.089399906
3,EcN,t2,1.376513086
4,EcN,t2,1.098557204
5,EcN,t2,1.38272827
6,EcN,t2,1.336739833
7,EcN,t2,2.404914926
8,EcN,t2,1.857703298
1,Control,t3,1.579097327
2,Control,t3,2.196546463
3,Control,t3,1.956830897
4,Control,t3,2.913625264
5,Control,t3,2.010906019
6,Control,t3,2.557474117
7,Control,t3,1.808673389
8,Control,t3,2.929395422
1,EcN,t3,1.806993514
2,EcN,t3,1.824873973
3,EcN,t3,1.740934792
4,EcN,t3,2.408988309
5,EcN,t3,2.1050501
6,EcN,t3,2.345718676
7,EcN,t3,2.1050501
8,EcN,t3,2.345718676
