id,group,time,score
1,Control,t1,80.507
2,Control,t1,96.5265
3,Control,t1,36.5225
4,Control,t1,44.8805
5,Control,t1,25.0215
6,Control,t1,91.896
7,Control,t1,63.0595
8,Control,t1,91.896
1,EcN,t1,61.4145
2,EcN,t1,34.2755
3,EcN,t1,47.208
4,EcN,t1,80.4615
5,EcN,t1,66.941
6,EcN,t1,161.693
7,EcN,t1,71.26
8,EcN,t1,95.2245
1,Control,t2,122.0975
2,Control,t2,165.1755
3,Control,t2,51.275
4,Control,t2,71.5575
5,Control,t2,36.68
6,Control,t2,68.859
7,Control,t2,46.1685
8,Control,t2,81.9875
1,EcN,t2,99.6485
2,EcN,t2,80.9795
3,EcN,t2,40.0855
4,EcN,t2,11.3225
5,EcN,t2,88.907
6,EcN,t2,58.233
7,EcN,t2,56.0455
8,EcN,t2,99.0815
1,Control,t3,53.2035
2,Control,t3,66.325
3,Control,t3,66.9935
4,Control,t3,279.559
5,Control,t3,64.449
6,Control,t3,166.992
7,Control,t3,64.715
8,Control,t3,136.9865
1,EcN,t3,71.8655
2,EcN,t3,37.415
3,EcN,t3,91.0035
4,EcN,t3,136.5175
5,EcN,t3,155.099
6,EcN,t3,218.6345
7,EcN,t3,155.099
8,EcN,t3,218.6345
