id,group,time,score
1,Control,t1,1.905833643
2,Control,t1,1.984646559
3,Control,t1,1.562560498
4,Control,t1,1.652057687
5,Control,t1,1.398313341
6,Control,t1,1.963296608
7,Control,t1,1.799750523
8,Control,t1,1.963296608
1,EcN,t1,1.78827092
2,EcN,t1,1.534983799
3,EcN,t1,1.674015602
4,EcN,t1,1.905588125
5,EcN,t1,1.825692196
6,EcN,t1,2.208691219
7,EcN,t1,1.852845818
8,EcN,t1,1.978748701
1,Control,t2,2.086706772
2,Control,t2,2.21794563
3,Control,t2,1.709905669
4,Control,t2,1.854655159
5,Control,t2,1.564429327
6,Control,t2,1.837960711
7,Control,t2,1.664345765
8,Control,t2,1.913747644
1,EcN,t2,1.998470766
2,EcN,t2,1.908375091
3,EcN,t2,1.602987305
4,EcN,t2,1.053942329
5,EcN,t2,1.948935956
6,EcN,t2,1.765169164
7,EcN,t2,1.748540748
8,EcN,t2,1.995992573
1,Control,t3,1.725940203
2,Control,t3,1.821677259
3,Control,t3,1.826032668
4,Control,t3,2.446473478
5,Control,t3,1.809216183
6,Control,t3,2.222695666
7,Control,t3,1.811004956
8,Control,t3,2.13667777
1,EcN,t3,1.856520452
2,EcN,t3,1.57304575
3,EcN,t3,1.959058096
4,EcN,t3,2.135188327
5,EcN,t3,2.190608998
6,EcN,t3,2.339718694
7,EcN,t3,2.190608998
8,EcN,t3,2.339718694
