id,group,time,score
1,Control,t1,1.879669206
2,Control,t1,1.761927838
3,Control,t1,2.012837225
4,Control,t1,1.710963119
5,Control,t1,1.523746467
6,Control,t1,1.639486489
7,Control,t1,1.84135947
8,Control,t1,1.84135947
1,EcN,t1,1.798650645
2,EcN,t1,1.848804701
3,EcN,t1,1.58546073
4,EcN,t1,1.761927838
5,EcN,t1,1.57054294
6,EcN,t1,1.599883072
7,EcN,t1,1.872156273
8,EcN,t1,1.57054294
1,Control,t2,2.08278537
2,Control,t2,2.123851641
3,Control,t2,2.117271296
4,Control,t2,2.103803721
5,Control,t2,2.021189299
6,Control,t2,2.190331698
7,Control,t2,2.484299839
8,Control,t2,2.42975228
1,EcN,t2,2.130333768
2,EcN,t2,2.243038049
3,EcN,t2,2.056904851
4,EcN,t2,2.017033339
5,EcN,t2,2.442479769
6,EcN,t2,2.086359831
7,EcN,t2,2.195899652
8,EcN,t2,2.250420002
1,Control,t3,2.437750563
2,Control,t3,2.037426498
3,Control,t3,2.195899652
4,Control,t3,2.123851641
5,Control,t3,2.227886705
6,Control,t3,2.127104798
7,Control,t3,2.309630167
8,Control,t3,2.170261715
1,EcN,t3,2.318063335
2,EcN,t3,2.311753861
3,EcN,t3,2.344392274
4,EcN,t3,1.972202838
5,EcN,t3,2.195899652
6,EcN,t3,2.247973266
7,EcN,t3,2.068185862
8,EcN,t3,2.260071388
