id,group,time,score
1,Control,t1,0.085
2,Control,t1,0.86
3,Control,t1,0.3
4,Control,t1,0.22
5,Control,t1,0.38
6,Control,t1,0.71
7,Control,t1,0.35
8,Control,t1,0.46
1,EcN,t1,0.54
2,EcN,t1,0.16
3,EcN,t1,0.11
4,EcN,t1,0.17
5,EcN,t1,0.24
6,EcN,t1,0.27
7,EcN,t1,0.76
8,EcN,t1,0.22
1,Control,t2,0.023
2,Control,t2,0.09
3,Control,t2,0.035
4,Control,t2,0.063
5,Control,t2,0.043
6,Control,t2,0.079
7,Control,t2,0.1
8,Control,t2,0.13
1,EcN,t2,0.00747
2,EcN,t2,0.087
3,EcN,t2,0.061
4,EcN,t2,0.053
5,EcN,t2,0.1
6,EcN,t2,0.13
7,EcN,t2,0.086
8,EcN,t2,0.24
1,Control,t3,0.1
2,Control,t3,0.12
3,Control,t3,0.14
4,Control,t3,0.3
5,Control,t3,0.07
6,Control,t3,0.17
7,Control,t3,0.14
8,Control,t3,0.48
1,EcN,t3,0.097
2,EcN,t3,0.15
3,EcN,t3,0.12
4,EcN,t3,0.083
5,EcN,t3,0.14
6,EcN,t3,0.061
7,EcN,t3,0.11
8,EcN,t3,0.21
