id,group,time,score
1,Control,t1,-1.070581074
2,Control,t1,-0.065501549
3,Control,t1,-0.522878745
4,Control,t1,-0.657577319
5,Control,t1,-0.420216403
6,Control,t1,-0.148741651
7,Control,t1,-0.455931956
8,Control,t1,-0.337242168
1,EcN,t1,-0.26760624
2,EcN,t1,-0.795880017
3,EcN,t1,-0.958607315
4,EcN,t1,-0.769551079
5,EcN,t1,-0.619788758
6,EcN,t1,-0.568636236
7,EcN,t1,-0.119186408
8,EcN,t1,-0.657577319
1,Control,t2,-1.638272164
2,Control,t2,-1.045757491
3,Control,t2,-1.455931956
4,Control,t2,-1.200659451
5,Control,t2,-1.366531544
6,Control,t2,-1.102372909
7,Control,t2,-1
8,Control,t2,-0.886056648
1,EcN,t2,-2.126679398
2,EcN,t2,-1.060480747
3,EcN,t2,-1.214670165
4,EcN,t2,-1.27572413
5,EcN,t2,-1
6,EcN,t2,-0.886056648
7,EcN,t2,-1.065501549
8,EcN,t2,-0.619788758
1,Control,t3,-1
2,Control,t3,-0.920818754
3,Control,t3,-0.853871964
4,Control,t3,-0.522878745
5,Control,t3,-1.15490196
6,Control,t3,-0.769551079
7,Control,t3,-0.853871964
8,Control,t3,-0.318758763
1,EcN,t3,-1.013228266
2,EcN,t3,-0.823908741
3,EcN,t3,-0.920818754
4,EcN,t3,-1.080921908
5,EcN,t3,-0.853871964
6,EcN,t3,-1.214670165
7,EcN,t3,-0.958607315
8,EcN,t3,-0.677780705
