id,group,time,score
1,Control,t1,202
2,Control,t1,116
3,Control,t1,174
4,Control,t1,146
5,Control,t1,146
6,Control,t1,185
7,Control,t1,199
8,Control,t1,190
1,EcN,t1,209
2,EcN,t1,157
3,EcN,t1,230
4,EcN,t1,192
5,EcN,t1,177
6,EcN,t1,203
7,EcN,t1,126
8,EcN,t1,171
1,Control,t2,188
2,Control,t2,134
3,Control,t2,161
4,Control,t2,228
5,Control,t2,125
6,Control,t2,205
7,Control,t2,244
8,Control,t2,253
1,EcN,t2,174
2,EcN,t2,281
3,EcN,t2,152
4,EcN,t2,122
5,EcN,t2,133
6,EcN,t2,162
7,EcN,t2,191
8,EcN,t2,126
1,Control,t3,
2,Control,t3,140
3,Control,t3,202
4,Control,t3,170
5,Control,t3,111
6,Control,t3,200
7,Control,t3,155
8,Control,t3,168
1,EcN,t3,181
2,EcN,t3,181
3,EcN,t3,156
4,EcN,t3,168
5,EcN,t3,169
6,EcN,t3,171
7,EcN,t3,165
8,EcN,t3,182
