id,group,time,score
1,Control,t1,20.2
2,Control,t1,28.1
3,Control,t1,29.2
4,Control,t1,16.1
5,Control,t1,28.5
6,Control,t1,
7,Control,t1,24
8,Control,t1,33.1
1,EcN,t1,18.1
2,EcN,t1,18.3
3,EcN,t1,25.6
4,EcN,t1,34.4
5,EcN,t1,20.6
6,EcN,t1,21.3
7,EcN,t1,27.4
8,EcN,t1,32.2
1,Control,t2,20.9
2,Control,t2,22.1
3,Control,t2,13.8
4,Control,t2,17.6
5,Control,t2,15.2
6,Control,t2,15.3
7,Control,t2,17.4
8,Control,t2,27.9
1,EcN,t2,16.2
2,EcN,t2,20
3,EcN,t2,16
4,EcN,t2,18.9
5,EcN,t2,11.9
6,EcN,t2,18.3
7,EcN,t2,11.4
8,EcN,t2,
1,Control,t3,12.9
2,Control,t3,21.4
3,Control,t3,15.4
4,Control,t3,9.93
5,Control,t3,12.2
6,Control,t3,20.2
7,Control,t3,21.2
8,Control,t3,17.8
1,EcN,t3,19.1
2,EcN,t3,16.4
3,EcN,t3,15.7
4,EcN,t3,13.5
5,EcN,t3,11
6,EcN,t3,15.2
7,EcN,t3,16
8,EcN,t3,13
