id,group,time,score
1,Control,t1,15.7
2,Control,t1,17.9
3,Control,t1,17.9
4,Control,t1,19.7
5,Control,t1,23.1
6,Control,t1,
7,Control,t1,26.4
8,Control,t1,18.1
1,EcN,t1,21.4
2,EcN,t1,19.3
3,EcN,t1,15.7
4,EcN,t1,21.3
5,EcN,t1,16.5
6,EcN,t1,21.8
7,EcN,t1,17.7
8,EcN,t1,15.8
1,Control,t2,13.7
2,Control,t2,17.4
3,Control,t2,19.7
4,Control,t2,19.7
5,Control,t2,17.3
6,Control,t2,21.8
7,Control,t2,19.8
8,Control,t2,20
1,EcN,t2,21.1
2,EcN,t2,25.5
3,EcN,t2,18
4,EcN,t2,25.6
5,EcN,t2,17.6
6,EcN,t2,22.9
7,EcN,t2,19.3
8,EcN,t2,
1,Control,t3,27.1
2,Control,t3,21.6
3,Control,t3,27.4
4,Control,t3,29.9
5,Control,t3,26.7
6,Control,t3,22.2
7,Control,t3,19
8,Control,t3,12.9
1,EcN,t3,33.5
2,EcN,t3,23.1
3,EcN,t3,34.9
4,EcN,t3,24.2
5,EcN,t3,15.2
6,EcN,t3,19.2
7,EcN,t3,34.5
8,EcN,t3,22.7
