id,group,time,score
1,Control,t1,0.761175813
2,Control,t1,0.380211242
3,Control,t1,0.635483747
4,Control,t1,0.559906625
5,Control,t1,0.665580991
6,Control,t1,0.133538908
7,Control,t1,0.346352974
8,Control,t1,0.463892989
1,EcN,t1,0.53529412
2,EcN,t1,0.492760389
3,EcN,t1,0.531478917
4,EcN,t1,0.397940009
5,EcN,t1,0.348304863
6,EcN,t1,0.42975228
7,EcN,t1,0.416640507
8,EcN,t1,0.285557309
1,Control,t2,1.195899652
2,Control,t2,1.049218023
3,Control,t2,1.08278537
4,Control,t2,0.918554531
5,Control,t2,1.123851641
6,Control,t2,1.338456494
7,Control,t2,1.204119983
8,Control,t2,1.017033339
1,EcN,t2,1.113943352
2,EcN,t2,1.170261715
3,EcN,t2,0.558708571
4,EcN,t2,0.563481085
5,EcN,t2,0.961421094
6,EcN,t2,0.969415912
7,EcN,t2,1.269512944
8,EcN,t2,#NUM!
1,Control,t3,0.909556029
2,Control,t3,0.630427875
3,Control,t3,0.5774918
4,Control,t3,0.736396502
5,Control,t3,0.826074803
6,Control,t3,0.864511081
7,Control,t3,1.161368002
8,Control,t3,0.950364854
1,EcN,t3,0.838219222
2,EcN,t3,0.459392488
3,EcN,t3,0.965671971
4,EcN,t3,0.995196292
5,EcN,t3,0.838849091
6,EcN,t3,0.935003151
7,EcN,t3,0.77524626
8,EcN,t3,0.922206277
