id,group,time,score
1,Control,t1,37
2,Control,t1,51.9
3,Control,t1,35.4
4,Control,t1,35
5,Control,t1,69.8
6,Control,t1,
7,Control,t1,40.6
8,Control,t1,50
1,EcN,t1,34.9
2,EcN,t1,18.2
3,EcN,t1,49.6
4,EcN,t1,36.1
5,EcN,t1,27.2
6,EcN,t1,26.9
7,EcN,t1,64
8,EcN,t1,47.8
1,Control,t2,31.7
2,Control,t2,40.2
3,Control,t2,33.7
4,Control,t2,31.6
5,Control,t2,24
6,Control,t2,52.4
7,Control,t2,32.8
8,Control,t2,44.3
1,EcN,t2,47.5
2,EcN,t2,49.8
3,EcN,t2,45.5
4,EcN,t2,46.2
5,EcN,t2,23.4
6,EcN,t2,30.8
7,EcN,t2,20.9
8,EcN,t2,
1,Control,t3,29.5
2,Control,t3,43
3,Control,t3,27.6
4,Control,t3,26.6
5,Control,t3,25.1
6,Control,t3,31.3
7,Control,t3,20.3
8,Control,t3,16.8
1,EcN,t3,33.8
2,EcN,t3,24.5
3,EcN,t3,25.4
4,EcN,t3,31.2
5,EcN,t3,18.6
6,EcN,t3,15.2
7,EcN,t3,25.6
8,EcN,t3,35.3
