id,group,time,score
1,Control,t1,16.1
2,Control,t1,23.5
3,Control,t1,17.3
4,Control,t1,12.1
5,Control,t1,22
6,Control,t1,
7,Control,t1,18.4
8,Control,t1,25.1
1,EcN,t1,20.7
2,EcN,t1,12.8
3,EcN,t1,19.7
4,EcN,t1,34.6
5,EcN,t1,21.9
6,EcN,t1,16
7,EcN,t1,20.2
8,EcN,t1,26.2
1,Control,t2,20.4
2,Control,t2,22.9
3,Control,t2,16
4,Control,t2,16.2
5,Control,t2,15.5
6,Control,t2,22.3
7,Control,t2,16.7
8,Control,t2,22.8
1,EcN,t2,19.6
2,EcN,t2,20.1
3,EcN,t2,16
4,EcN,t2,18.1
5,EcN,t2,10
6,EcN,t2,14.5
7,EcN,t2,12.1
8,EcN,t2,
1,Control,t3,17.9
2,Control,t3,14.9
3,Control,t3,16.1
4,Control,t3,11.8
5,Control,t3,13.7
6,Control,t3,15.6
7,Control,t3,12.4
8,Control,t3,13.2
1,EcN,t3,16.6
2,EcN,t3,21.7
3,EcN,t3,23.9
4,EcN,t3,19
5,EcN,t3,14.4
6,EcN,t3,8.9
7,EcN,t3,17.1
8,EcN,t3,16.7
