id,group,time,score
1,Control,t1,0.74
2,Control,t1,1.51
3,Control,t1,1.06
4,Control,t1,1.31
5,Control,t1,1.51
6,Control,t1,1.34
7,Control,t1,2.01
8,Control,t1,
1,EcN,t1,1.07
2,EcN,t1,1.57
3,EcN,t1,0.72
4,EcN,t1,1.14
5,EcN,t1,0.87
6,EcN,t1,1.41
7,EcN,t1,1.5
8,EcN,t1,1.65
1,Control,t2,45
2,Control,t2,20.7
3,Control,t2,64.5
4,Control,t2,7.62
5,Control,t2,48.8
6,Control,t2,30.2
7,Control,t2,7.63
8,Control,t2,42.4
1,EcN,t2,13.9
2,EcN,t2,9.74
3,EcN,t2,22.2
4,EcN,t2,5.07
5,EcN,t2,19.5
6,EcN,t2,33.7
7,EcN,t2,73.4
8,EcN,t2,
1,Control,t3,3.04
2,Control,t3,2.12
3,Control,t3,3.29
4,Control,t3,3.14
5,Control,t3,2.12
6,Control,t3,4.2
7,Control,t3,
8,Control,t3,4.16
1,EcN,t3,2.8
2,EcN,t3,1.41
3,EcN,t3,2.93
4,EcN,t3,2.63
5,EcN,t3,4.44
6,EcN,t3,2.25
7,EcN,t3,2.85
8,EcN,t3,3.28
