id,group,time,score
1,Control,t1,-0.13076828
2,Control,t1,0.178976947
3,Control,t1,0.025305865
4,Control,t1,0.117271296
5,Control,t1,0.178976947
6,Control,t1,0.127104798
7,Control,t1,0.303196057
8,Control,t1,0.617000341
1,EcN,t1,0.029383778
2,EcN,t1,0.195899652
3,EcN,t1,-0.142667504
4,EcN,t1,0.056904851
5,EcN,t1,-0.060480747
6,EcN,t1,0.149219113
7,EcN,t1,0.176091259
8,EcN,t1,0.217483944
1,Control,t2,1.653212514
2,Control,t2,1.315970345
3,Control,t2,1.809559715
4,Control,t2,0.881954971
5,Control,t2,1.688419822
6,Control,t2,1.480006943
7,Control,t2,0.882524538
8,Control,t2,1.627365857
1,EcN,t2,1.1430148
2,EcN,t2,0.988558957
3,EcN,t2,1.346352974
4,EcN,t2,0.705007959
5,EcN,t2,1.290034611
6,EcN,t2,1.527629901
7,EcN,t2,1.86569606
8,EcN,t2,
1,Control,t3,0.482873584
2,Control,t3,0.326335861
3,Control,t3,0.517195898
4,Control,t3,0.496929648
5,Control,t3,0.326335861
6,Control,t3,0.62324929
7,Control,t3,0.895422546
8,Control,t3,0.619093331
1,EcN,t3,0.447158031
2,EcN,t3,0.149219113
3,EcN,t3,0.46686762
4,EcN,t3,0.419955748
5,EcN,t3,0.64738297
6,EcN,t3,0.352182518
7,EcN,t3,0.45484486
8,EcN,t3,0.515873844
