id,group,time,score
1,Control,t1,13.8
2,Control,t1,13.6
3,Control,t1,13.6
4,Control,t1,14.4
5,Control,t1,17.9
6,Control,t1,
7,Control,t1,19.3
8,Control,t1,29.8
1,EcN,t1,19.5
2,EcN,t1,13.1
3,EcN,t1,23.8
4,EcN,t1,22.6
5,EcN,t1,16.7
6,EcN,t1,18.6
7,EcN,t1,24.7
8,EcN,t1,20.1
1,Control,t2,18.3
2,Control,t2,20.6
3,Control,t2,15.4
4,Control,t2,14.4
5,Control,t2,14.7
6,Control,t2,20.6
7,Control,t2,14.9
8,Control,t2,19.1
1,EcN,t2,19.7
2,EcN,t2,18.7
3,EcN,t2,17.6
4,EcN,t2,18.8
5,EcN,t2,9.17
6,EcN,t2,12.5
7,EcN,t2,8.64
8,EcN,t2,
1,Control,t3,14.8
2,Control,t3,14.8
3,Control,t3,14.6
4,Control,t3,13.8
5,Control,t3,10.8
6,Control,t3,13.7
7,Control,t3,12.2
8,Control,t3,11.8
1,EcN,t3,18.8
2,EcN,t3,15.5
3,EcN,t3,14
4,EcN,t3,12.9
5,EcN,t3,9.71
6,EcN,t3,10.6
7,EcN,t3,20.2
8,EcN,t3,14.8
