id,group,time,score
1,Control,t1,72.3
2,Control,t1,73.9
3,Control,t1,69.7
4,Control,t1,68.3
5,Control,t1,65.1
6,Control,t1,
7,Control,t1,60.9
8,Control,t1,68.9
1,EcN,t1,64.9
2,EcN,t1,69.2
3,EcN,t1,72.9
4,EcN,t1,67
5,EcN,t1,72.2
6,EcN,t1,64.2
7,EcN,t1,69.3
8,EcN,t1,73.2
1,Control,t2,64.1
2,Control,t2,65.3
3,Control,t2,53.8
4,Control,t2,66.9
5,Control,t2,62.8
6,Control,t2,49.2
7,Control,t2,59.9
8,Control,t2,63.3
1,EcN,t2,60.4
2,EcN,t2,54.9
3,EcN,t2,71.2
4,EcN,t2,61.2
5,EcN,t2,67.6
6,EcN,t2,59.8
7,EcN,t2,51.7
8,EcN,t2,
1,Control,t3,58.1
2,Control,t3,68.3
3,Control,t3,61
4,Control,t3,55.8
5,Control,t3,61.9
6,Control,t3,61.6
7,Control,t3,57.2
8,Control,t3,73.8
1,EcN,t3,52.2
2,EcN,t3,66.6
3,EcN,t3,51.1
4,EcN,t3,58.6
5,EcN,t3,71.1
6,EcN,t3,66.4
7,EcN,t3,52.8
8,EcN,t3,61.7
