id,group,time,score
1,Control,t1,7.82
2,Control,t1,5.74
3,Control,t1,5.88
4,Control,t1,14.5
5,Control,t1,6.12
6,Control,t1,
7,Control,t1,7.36
8,Control,t1,8.53
1,EcN,t1,10.7
2,EcN,t1,7.28
3,EcN,t1,13.4
4,EcN,t1,8.44
5,EcN,t1,7.59
6,EcN,t1,10.8
7,EcN,t1,7.9
8,EcN,t1,6.83
1,Control,t2,15.5
2,Control,t2,17.6
3,Control,t2,9.19
4,Control,t2,9.3
5,Control,t2,14
6,Control,t2,13.1
7,Control,t2,9.82
8,Control,t2,9.95
1,EcN,t2,14.9
2,EcN,t2,10.4
3,EcN,t2,15.7
4,EcN,t2,10.3
5,EcN,t2,7.56
6,EcN,t2,16.8
7,EcN,t2,14.7
8,EcN,t2,
1,Control,t3,10.1
2,Control,t3,9.15
3,Control,t3,10.2
4,Control,t3,15.7
5,Control,t3,9.52
6,Control,t3,10
7,Control,t3,8.24
8,Control,t3,8.99
1,EcN,t3,15.7
2,EcN,t3,11.1
3,EcN,t3,12.6
4,EcN,t3,8.85
5,EcN,t3,7.67
6,EcN,t3,8.6
7,EcN,t3,18
8,EcN,t3,11.3
