id,group,time,score
1,Control,t1,0.893206753
2,Control,t1,0.758911892
3,Control,t1,0.769377326
4,Control,t1,1.161368002
5,Control,t1,0.786751422
6,Control,t1,
7,Control,t1,0.866877814
8,Control,t1,0.930949031
1,EcN,t1,1.029383778
2,EcN,t1,0.862131379
3,EcN,t1,1.127104798
4,EcN,t1,0.926342447
5,EcN,t1,0.880241776
6,EcN,t1,1.033423755
7,EcN,t1,0.897627091
8,EcN,t1,0.834420704
1,Control,t2,1.190331698
2,Control,t2,1.245512668
3,Control,t2,0.963315511
4,Control,t2,0.968482949
5,Control,t2,1.146128036
6,Control,t2,1.117271296
7,Control,t2,0.992111488
8,Control,t2,0.997823081
1,EcN,t2,1.173186268
2,EcN,t2,1.017033339
3,EcN,t2,1.195899652
4,EcN,t2,1.012837225
5,EcN,t2,0.878521796
6,EcN,t2,1.225309282
7,EcN,t2,1.167317335
8,EcN,t2,
1,Control,t3,1.004321374
2,Control,t3,0.961421094
3,Control,t3,1.008600172
4,Control,t3,1.195899652
5,Control,t3,0.978636948
6,Control,t3,1
7,Control,t3,0.915927212
8,Control,t3,0.953759692
1,EcN,t3,1.195899652
2,EcN,t3,1.045322979
3,EcN,t3,1.100370545
4,EcN,t3,0.946943271
5,EcN,t3,0.884795364
6,EcN,t3,0.934498451
7,EcN,t3,1.255272505
8,EcN,t3,1.053078443
