id,group,time,score
1,Control,t1,160
2,Control,t1,142
3,Control,t1,144
4,Control,t1,139
5,Control,t1,138
6,Control,t1,133
7,Control,t1,198
8,Control,t1,215
1,EcN,t1,144
2,EcN,t1,111
3,EcN,t1,134
4,EcN,t1,164
5,EcN,t1,111
6,EcN,t1,151
7,EcN,t1,125
8,EcN,t1,164
1,Control,t2,147
2,Control,t2,70.6
3,Control,t2,99
4,Control,t2,99
5,Control,t2,83.5
6,Control,t2,95.1
7,Control,t2,152
8,Control,t2,93.8
1,EcN,t2,127
2,EcN,t2,117
3,EcN,t2,118
4,EcN,t2,88.7
5,EcN,t2,156
6,EcN,t2,107
7,EcN,t2,74.5
8,EcN,t2,130
1,Control,t3,
2,Control,t3,108
3,Control,t3,127
4,Control,t3,100
5,Control,t3,69.4
6,Control,t3,191
7,Control,t3,97.7
8,Control,t3,142
1,EcN,t3,102
2,EcN,t3,118
3,EcN,t3,93.8
4,EcN,t3,55.2
5,EcN,t3,120
6,EcN,t3,62.9
7,EcN,t3,109
8,EcN,t3,107
