id,group,time,score
1,Control,t1,10.8
2,Control,t1,4.83
3,Control,t1,6.09
4,Control,t1,5.56
5,Control,t1,4.62
6,Control,t1,6.3
7,Control,t1,3.75
8,Control,t1,2.03
1,EcN,t1,2.28
2,EcN,t1,4.67
3,EcN,t1,1.91
4,EcN,t1,2.92
5,EcN,t1,4.17
6,EcN,t1,5.97
7,EcN,t1,9.32
8,EcN,t1,5.66
1,Control,t2,1.37
2,Control,t2,0.93
3,Control,t2,1.39
4,Control,t2,0.84
5,Control,t2,2.89
6,Control,t2,0.99
7,Control,t2,1.33
8,Control,t2,3.18
1,EcN,t2,0.73
2,EcN,t2,0.9
3,EcN,t2,0.97
4,EcN,t2,1.18
5,EcN,t2,1.92
6,EcN,t2,2.45
7,EcN,t2,2.57
8,EcN,t2,3.28
1,Control,t3,0.64
2,Control,t3,0.98
3,Control,t3,0.44
4,Control,t3,1.03
5,Control,t3,1.19
6,Control,t3,1.25
7,Control,t3,0.96
8,Control,t3,1.61
1,EcN,t3,0.96
2,EcN,t3,0.84
3,EcN,t3,0.37
4,EcN,t3,0.46
5,EcN,t3,0.84
6,EcN,t3,0.77
7,EcN,t3,0.98
8,EcN,t3,0.33
