id,group,time,score
1,Control,t1,1.033423755
2,Control,t1,0.683947131
3,Control,t1,0.784617293
4,Control,t1,0.745074792
5,Control,t1,0.664641976
6,Control,t1,0.799340549
7,Control,t1,0.574031268
8,Control,t1,0.307496038
1,EcN,t1,0.357934847
2,EcN,t1,0.669316881
3,EcN,t1,0.281033367
4,EcN,t1,0.465382851
5,EcN,t1,0.620136055
6,EcN,t1,0.775974331
7,EcN,t1,0.969415912
8,EcN,t1,0.752816431
1,Control,t2,0.136720567
2,Control,t2,-0.031517051
3,Control,t2,0.1430148
4,Control,t2,-0.075720714
5,Control,t2,0.460897843
6,Control,t2,-0.004364805
7,Control,t2,0.123851641
8,Control,t2,0.50242712
1,EcN,t2,-0.13667714
2,EcN,t2,-0.045757491
3,EcN,t2,-0.013228266
4,EcN,t2,0.071882007
5,EcN,t2,0.283301229
6,EcN,t2,0.389166084
7,EcN,t2,0.409933123
8,EcN,t2,0.515873844
1,Control,t3,-0.193820026
2,Control,t3,-0.008773924
3,Control,t3,-0.356547324
4,Control,t3,0.012837225
5,Control,t3,0.075546961
6,Control,t3,0.096910013
7,Control,t3,-0.017728767
8,Control,t3,0.206825876
1,EcN,t3,-0.017728767
2,EcN,t3,-0.075720714
3,EcN,t3,-0.431798276
4,EcN,t3,-0.337242168
5,EcN,t3,-0.075720714
6,EcN,t3,-0.113509275
7,EcN,t3,-0.008773924
8,EcN,t3,-0.48148606
