id,group,time,score
1,Control,t1,44.9
2,Control,t1,88.7
3,Control,t1,82.2
4,Control,t1,59.1
5,Control,t1,69.4
6,Control,t1,64.2
7,Control,t1,77.1
8,Control,t1,56.5
1,EcN,t1,43.6
2,EcN,t1,73.2
3,EcN,t1,87.4
4,EcN,t1,60.4
5,EcN,t1,83.5
6,EcN,t1,142
7,EcN,t1,89.9
8,EcN,t1,105
1,Control,t2,51.4
2,Control,t2,53.9
3,Control,t2,48.8
4,Control,t2,80.9
5,Control,t2,57.8
6,Control,t2,62.9
7,Control,t2,96.4
8,Control,t2,59.1
1,EcN,t2,65.5
2,EcN,t2,51.4
3,EcN,t2,112
4,EcN,t2,108
5,EcN,t2,55.2
6,EcN,t2,89.9
7,EcN,t2,
8,EcN,t2,53.9
1,Control,t3,77.1
2,Control,t3,50.1
3,Control,t3,70.6
4,Control,t3,74.5
5,Control,t3,84.8
6,Control,t3,55.2
7,Control,t3,59.1
8,Control,t3,52.6
1,EcN,t3,74.5
2,EcN,t3,61.6
3,EcN,t3,88.7
4,EcN,t3,53.9
5,EcN,t3,59.1
6,EcN,t3,77.1
7,EcN,t3,42.4
8,EcN,t3,35.9
1,Control,t4,88.7
2,Control,t4,86.1
3,Control,t4,78.4
4,Control,t4,104
5,Control,t4,68.1
6,Control,t4,80.9
7,Control,t4,77.1
8,Control,t4,149
1,EcN,t4,122
2,EcN,t4,57.8
3,EcN,t4,118
4,EcN,t4,57.8
5,EcN,t4,66.8
6,EcN,t4,114
7,EcN,t4,70.6
8,EcN,t4,69.4
