id,group,time,score
1,Control,t1,0.27
2,Control,t1,0.91
3,Control,t1,0.24
4,Control,t1,0.63
5,Control,t1,0.14
6,Control,t1,1.1
7,Control,t1,0.15
8,Control,t1,0.61
1,EcN,t1,1.45
2,EcN,t1,0.64
3,EcN,t1,0.072
4,EcN,t1,1.71
5,EcN,t1,0.39
6,EcN,t1,0.095
7,EcN,t1,0.2
8,EcN,t1,0.42
1,Control,t2,0.13
2,Control,t2,0.13
3,Control,t2,
4,Control,t2,0.15
5,Control,t2,0.092
6,Control,t2,0.16
7,Control,t2,0.062
8,Control,t2,0.1
1,EcN,t2,0.14
2,EcN,t2,0.22
3,EcN,t2,0.14
4,EcN,t2,0.15
5,EcN,t2,0.15
6,EcN,t2,0.13
7,EcN,t2,
8,EcN,t2,0.19
1,Control,t3,0.097
2,Control,t3,0.099
3,Control,t3,0.076
4,Control,t3,0.1
5,Control,t3,0.11
6,Control,t3,0.13
7,Control,t3,0.087
8,Control,t3,0.11
1,EcN,t3,0.059
2,EcN,t3,0.11
3,EcN,t3,0.093
4,EcN,t3,0.13
5,EcN,t3,0.083
6,EcN,t3,0.092
7,EcN,t3,0.094
8,EcN,t3,0.13
1,Control,t4,0.2
2,Control,t4,0.13
3,Control,t4,0.2
4,Control,t4,0.17
5,Control,t4,0.29
6,Control,t4,0.22
7,Control,t4,0.23
8,Control,t4,0.16
1,EcN,t4,0.097
2,EcN,t4,0.13
3,EcN,t4,0.13
4,EcN,t4,0.3
5,EcN,t4,0.19
6,EcN,t4,0.28
7,EcN,t4,0.14
8,EcN,t4,0.26
