id,group,time,score
1,Control,t1,-0.568636236
2,Control,t1,-0.040958608
3,Control,t1,-0.619788758
4,Control,t1,-0.200659451
5,Control,t1,-0.853871964
6,Control,t1,0.041392685
7,Control,t1,-0.823908741
8,Control,t1,-0.214670165
1,EcN,t1,0.161368002
2,EcN,t1,-0.193820026
3,EcN,t1,-1.142667504
4,EcN,t1,0.23299611
5,EcN,t1,-0.408935393
6,EcN,t1,-1.022276395
7,EcN,t1,-0.698970004
8,EcN,t1,-0.37675071
1,Control,t2,-0.886056648
2,Control,t2,-0.886056648
3,Control,t2,
4,Control,t2,-0.823908741
5,Control,t2,-1.036212173
6,Control,t2,-0.795880017
7,Control,t2,
8,Control,t2,-1
1,EcN,t2,-0.853871964
2,EcN,t2,-0.657577319
3,EcN,t2,-0.853871964
4,EcN,t2,-0.823908741
5,EcN,t2,-0.823908741
6,EcN,t2,-0.886056648
7,EcN,t2,
8,EcN,t2,-0.721246399
1,Control,t3,-1.013228266
2,Control,t3,-1.004364805
3,Control,t3,-1.119186408
4,Control,t3,-1
5,Control,t3,-0.958607315
6,Control,t3,-0.886056648
7,Control,t3,-1.060480747
8,Control,t3,-0.958607315
1,EcN,t3,-1.229147988
2,EcN,t3,-0.958607315
3,EcN,t3,-1.031517051
4,EcN,t3,-0.886056648
5,EcN,t3,-1.080921908
6,EcN,t3,-1.036212173
7,EcN,t3,-1.026872146
8,EcN,t3,-0.886056648
1,Control,t4,-0.698970004
2,Control,t4,-0.886056648
3,Control,t4,-0.698970004
4,Control,t4,-0.769551079
5,Control,t4,-0.537602002
6,Control,t4,-0.657577319
7,Control,t4,-0.638272164
8,Control,t4,-0.795880017
1,EcN,t4,-1.013228266
2,EcN,t4,-0.886056648
3,EcN,t4,-0.886056648
4,EcN,t4,-0.522878745
5,EcN,t4,-0.721246399
6,EcN,t4,-0.552841969
7,EcN,t4,-0.853871964
8,EcN,t4,-0.585026652
