id,group,time,score
1,Control,t1,2.117271296
2,Control,t1,2.089905111
3,Control,t1,2.152288344
4,Control,t1,2.204119983
5,Control,t1,2.170261715
6,Control,t1,2.11058971
7,Control,t1,2.158362492
8,Control,t1,2.123851641
1,EcN,t1,1.914871818
2,EcN,t1,2.123851641
3,EcN,t1,2.209515015
4,EcN,t1,2.146128036
5,EcN,t1,2.190331698
6,EcN,t1,2.326335861
7,EcN,t1,2.190331698
8,EcN,t1,
1,Control,t2,2.139879086
2,Control,t2,2.049218023
3,Control,t2,2.113943352
4,Control,t2,2.11058971
5,Control,t2,2.11058971
6,Control,t2,2.096910013
7,Control,t2,2.198657087
8,Control,t2,2.146128036
1,EcN,t2,2.049218023
2,EcN,t2,2.220108088
3,EcN,t2,2.250420002
4,EcN,t2,2.214843848
5,EcN,t2,2.100370545
6,EcN,t2,2.198657087
7,EcN,t2,#NUM!
8,EcN,t2,2.11058971
1,Control,t3,2.071882007
2,Control,t3,1.94792362
3,Control,t3,2.096910013
4,Control,t3,2.071882007
5,Control,t3,2.164352856
6,Control,t3,2.071882007
7,Control,t3,2.029383778
8,Control,t3,1.989894564
1,EcN,t3,2.071882007
2,EcN,t3,2.155336037
3,EcN,t3,2.017033339
4,EcN,t3,2.012837225
5,EcN,t3,2.012837225
6,EcN,t3,1.94792362
7,EcN,t3,1.833147112
8,EcN,t3,1.741939078
1,Control,t4,1.935003151
2,Control,t4,2.064457989
3,Control,t4,1.941511433
4,Control,t4,1.941511433
5,Control,t4,1.94792362
6,Control,t4,1.989894564
7,Control,t4,1.914871818
8,Control,t4,1.966141733
1,EcN,t4,1.972202838
2,EcN,t4,1.953759692
3,EcN,t4,1.94792362
4,EcN,t4,2
5,EcN,t4,1.94792362
6,EcN,t4,2.021189299
7,EcN,t4,1.966141733
8,EcN,t4,1.959994838
