id,group,time,score
1,Control,t1,86.1
2,Control,t1,99
3,Control,t1,135
4,Control,t1,78.4
5,Control,t1,102
6,Control,t1,116
7,Control,t1,86.1
8,Control,t1,86.1
1,EcN,t1,73.2
2,EcN,t1,100
3,EcN,t1,123
4,EcN,t1,105
5,EcN,t1,138
6,EcN,t1,138
7,EcN,t1,138
8,EcN,t1,138
1,Control,t2,57.8
2,Control,t2,61.6
3,Control,t2,61.6
4,Control,t2,64.2
5,Control,t2,84.8
6,Control,t2,77.1
7,Control,t2,82.2
8,Control,t2,71.9
1,EcN,t2,55.2
2,EcN,t2,60.4
3,EcN,t2,89.9
4,EcN,t2,122
5,EcN,t2,59.1
6,EcN,t2,73.2
7,EcN,t2,
8,EcN,t2,77.1
1,Control,t3,41.1
2,Control,t3,47.5
3,Control,t3,55.2
4,Control,t3,48.8
5,Control,t3,39.8
6,Control,t3,56.5
7,Control,t3,47.5
8,Control,t3,46.2
1,EcN,t3,57.8
2,EcN,t3,44.9
3,EcN,t3,47.5
4,EcN,t3,41.1
5,EcN,t3,38.5
6,EcN,t3,39.8
7,EcN,t3,41.1
8,EcN,t3,51.4
1,Control,t4,48.8
2,Control,t4,51.4
3,Control,t4,47.5
4,Control,t4,51.4
5,Control,t4,73.2
6,Control,t4,65.5
7,Control,t4,71.9
8,Control,t4,65.5
1,EcN,t4,21.8
2,EcN,t4,71.9
3,EcN,t4,53.9
4,EcN,t4,43.6
5,EcN,t4,19.3
6,EcN,t4,59.1
7,EcN,t4,47.5
8,EcN,t4,79.6
