id,group,time,score
1,Control,t1,24.1
2,Control,t1,55.5
3,Control,t1,56.4
4,Control,t1,39.5
5,Control,t1,22.8
6,Control,t1,75.9
7,Control,t1,25.7
8,Control,t1,50.8
1,EcN,t1,88.2
2,EcN,t1,26.7
3,EcN,t1,17.5
4,EcN,t1,72.7
5,EcN,t1,44.1
6,EcN,t1,6
7,EcN,t1,38.5
8,EcN,t1,38
1,Control,t2,49.4
2,Control,t2,42.1
3,Control,t2,56.8
4,Control,t2,27.8
5,Control,t2,33.7
6,Control,t2,62
7,Control,t2,40.7
8,Control,t2,37.1
1,EcN,t2,55.8
2,EcN,t2,39.7
3,EcN,t2,29.9
4,EcN,t2,24
5,EcN,t2,45.4
6,EcN,t2,45.9
7,EcN,t2,
8,EcN,t2,44.5
1,Control,t3,6.89
2,Control,t3,13.6
3,Control,t3,26
4,Control,t3,32.8
5,Control,t3,17.2
6,Control,t3,15.3
7,Control,t3,20.3
8,Control,t3,25.5
1,EcN,t3,17
2,EcN,t3,24.8
3,EcN,t3,16.9
4,EcN,t3,32.6
5,EcN,t3,31.9
6,EcN,t3,34.5
7,EcN,t3,41.1
8,EcN,t3,29.9
1,Control,t4,3.3
2,Control,t4,1.8
3,Control,t4,16.1
4,Control,t4,19.4
5,Control,t4,7.11
6,Control,t4,6.46
7,Control,t4,3.96
8,Control,t4,3.76
1,EcN,t4,4.22
2,EcN,t4,9.33
3,EcN,t4,6.62
4,EcN,t4,16.2
5,EcN,t4,3.3
6,EcN,t4,6.74
7,EcN,t4,7.81
8,EcN,t4,8.24
