id,group,time,score
1,Control,t1,1.382017043
2,Control,t1,1.744292983
3,Control,t1,1.751279104
4,Control,t1,1.596597096
5,Control,t1,1.357934847
6,Control,t1,1.880241776
7,Control,t1,1.409933123
8,Control,t1,1.705863712
1,EcN,t1,1.945468585
2,EcN,t1,1.426511261
3,EcN,t1,1.243038049
4,EcN,t1,1.861534411
5,EcN,t1,1.644438589
6,EcN,t1,0.77815125
7,EcN,t1,1.58546073
8,EcN,t1,1.579783597
1,Control,t2,1.693726949
2,Control,t2,1.624282096
3,Control,t2,1.754348336
4,Control,t2,1.444044796
5,Control,t2,1.527629901
6,Control,t2,1.792391689
7,Control,t2,1.609594409
8,Control,t2,1.56937391
1,EcN,t2,1.746634199
2,EcN,t2,1.598790507
3,EcN,t2,1.475671188
4,EcN,t2,1.380211242
5,EcN,t2,1.657055853
6,EcN,t2,1.661812686
7,EcN,t2,
8,EcN,t2,1.648360011
1,Control,t3,0.838219222
2,Control,t3,1.133538908
3,Control,t3,1.414973348
4,Control,t3,1.515873844
5,Control,t3,1.235528447
6,Control,t3,1.184691431
7,Control,t3,1.307496038
8,Control,t3,1.40654018
1,EcN,t3,1.230448921
2,EcN,t3,1.394451681
3,EcN,t3,1.227886705
4,EcN,t3,1.5132176
5,EcN,t3,1.503790683
6,EcN,t3,1.537819095
7,EcN,t3,1.613841822
8,EcN,t3,1.475671188
1,Control,t4,0.51851394
2,Control,t4,0.255272505
3,Control,t4,1.206825876
4,Control,t4,1.28780173
5,Control,t4,0.851869601
6,Control,t4,0.810232518
7,Control,t4,0.597695186
8,Control,t4,0.575187845
1,EcN,t4,0.625312451
2,EcN,t4,0.969881644
3,EcN,t4,0.820857989
4,EcN,t4,1.209515015
5,EcN,t4,0.51851394
6,EcN,t4,0.828659897
7,EcN,t4,0.892651034
8,EcN,t4,0.915927212
