id,group,time,score
1,Control,t1,29.1
2,Control,t1,25
3,Control,t1,20.5
4,Control,t1,47.1
5,Control,t1,7.32
6,Control,t1,8.11
7,Control,t1,20.7
8,Control,t1,21.7
1,EcN,t1,0
2,EcN,t1,25.5
3,EcN,t1,31.5
4,EcN,t1,30.7
5,EcN,t1,30.8
6,EcN,t1,19
7,EcN,t1,34.7
8,EcN,t1,36
1,Control,t2,44.4
2,Control,t2,57.4
3,Control,t2,50.8
4,Control,t2,54.9
5,Control,t2,48.2
6,Control,t2,50.1
7,Control,t2,29.2
8,Control,t2,39.2
1,EcN,t2,39.1
2,EcN,t2,46.3
3,EcN,t2,47.8
4,EcN,t2,41.7
5,EcN,t2,45.1
6,EcN,t2,34.2
7,EcN,t2,33.4
8,EcN,t2,42
1,Control,t3,32.1
2,Control,t3,43.3
3,Control,t3,49.9
4,Control,t3,41.3
5,Control,t3,55.3
6,Control,t3,36
7,Control,t3,43.6
8,Control,t3,42
1,EcN,t3,38.7
2,EcN,t3,38.9
3,EcN,t3,44.3
4,EcN,t3,32.2
5,EcN,t3,25.6
6,EcN,t3,54.2
7,EcN,t3,37
8,EcN,t3,37.8
1,Control,t4,38.8
2,Control,t4,80.3
3,Control,t4,88
4,Control,t4,63.3
5,Control,t4,67.9
6,Control,t4,39.3
7,Control,t4,66
8,Control,t4,58.3
1,EcN,t4,56.5
2,EcN,t4,47.2
3,EcN,t4,68.3
4,EcN,t4,62.3
5,EcN,t4,66.2
6,EcN,t4,41.2
7,EcN,t4,38.4
8,EcN,t4,59
