id,group,time,score
1,Control,t1,17.9
2,Control,t1,16.7
3,Control,t1,12.9
4,Control,t1,16.1
5,Control,t1,30.8
6,Control,t1,16.1
7,Control,t1,11.1
8,Control,t1,14.5
1,EcN,t1,
2,EcN,t1,17.2
3,EcN,t1,15.7
4,EcN,t1,20.4
5,EcN,t1,14.2
6,EcN,t1,10.4
7,EcN,t1,8.58
8,EcN,t1,7.84
1,Control,t2,21.3
2,Control,t2,24
3,Control,t2,20.8
4,Control,t2,16.9
5,Control,t2,25.2
6,Control,t2,25.2
7,Control,t2,18.9
8,Control,t2,23.3
1,EcN,t2,18.8
2,EcN,t2,21.1
3,EcN,t2,27.7
4,EcN,t2,25.7
5,EcN,t2,24.6
6,EcN,t2,21.8
7,EcN,t2,13.7
8,EcN,t2,16.1
1,Control,t3,17.8
2,Control,t3,22.5
3,Control,t3,15.2
4,Control,t3,16.1
5,Control,t3,21.5
6,Control,t3,19.1
7,Control,t3,19.5
8,Control,t3,21.3
1,EcN,t3,16.7
2,EcN,t3,14.1
3,EcN,t3,19.2
4,EcN,t3,18.3
5,EcN,t3,20.6
6,EcN,t3,39.2
7,EcN,t3,10.8
8,EcN,t3,16.1
1,Control,t4,21.6
2,Control,t4,34.5
3,Control,t4,43.2
4,Control,t4,34.8
5,Control,t4,31.3
6,Control,t4,24.4
7,Control,t4,40.2
8,Control,t4,28.1
1,EcN,t4,20.7
2,EcN,t4,21.2
3,EcN,t4,42.2
4,EcN,t4,55.7
5,EcN,t4,35.7
6,EcN,t4,35.8
7,EcN,t4,10.4
8,EcN,t4,34.1
