id,group,time,score
1,Control,t1,1.252853031
2,Control,t1,1.222716471
3,Control,t1,1.11058971
4,Control,t1,1.206825876
5,Control,t1,1.488550717
6,Control,t1,1.206825876
7,Control,t1,1.045322979
8,Control,t1,1.161368002
1,EcN,t1,
2,EcN,t1,1.235528447
3,EcN,t1,1.195899652
4,EcN,t1,1.309630167
5,EcN,t1,1.152288344
6,EcN,t1,1.017033339
7,EcN,t1,0.933487288
8,EcN,t1,0.894316063
1,Control,t2,1.328379603
2,Control,t2,1.380211242
3,Control,t2,1.318063335
4,Control,t2,1.227886705
5,Control,t2,1.401400541
6,Control,t2,1.401400541
7,Control,t2,1.276461804
8,Control,t2,1.367355921
1,EcN,t2,1.274157849
2,EcN,t2,1.324282455
3,EcN,t2,1.442479769
4,EcN,t2,1.409933123
5,EcN,t2,1.390935107
6,EcN,t2,1.338456494
7,EcN,t2,1.136720567
8,EcN,t2,1.206825876
1,Control,t3,1.250420002
2,Control,t3,1.352182518
3,Control,t3,1.181843588
4,Control,t3,1.206825876
5,Control,t3,1.33243846
6,Control,t3,1.281033367
7,Control,t3,1.290034611
8,Control,t3,1.328379603
1,EcN,t3,1.222716471
2,EcN,t3,1.149219113
3,EcN,t3,1.283301229
4,EcN,t3,1.26245109
5,EcN,t3,1.31386722
6,EcN,t3,1.593286067
7,EcN,t3,1.033423755
8,EcN,t3,1.206825876
1,Control,t4,1.334453751
2,Control,t4,1.537819095
3,Control,t4,1.635483747
4,Control,t4,1.541579244
5,Control,t4,1.495544338
6,Control,t4,1.387389826
7,Control,t4,1.604226053
8,Control,t4,1.44870632
1,EcN,t4,1.315970345
2,EcN,t4,1.326335861
3,EcN,t4,1.625312451
4,EcN,t4,1.745855195
5,EcN,t4,1.552668216
6,EcN,t4,1.553883027
7,EcN,t4,1.017033339
8,EcN,t4,1.532754379
