id,group,time,score,department,ear_tag,EcN_cumulative
1,Control,t1,12.7,1,81050,0
2,Control,t1,19.2,1,81323,0
3,Control,t1,31.3,7,81465,0
4,Control,t1,15.5,7,81062,0
5,Control,t1,6.2,2,81116,0
6,Control,t1,13.7,2,81112,0.0000618
7,Control,t1,19.4,6,81049,0
8,Control,t1,14.2,6,81423,0
1,EcN,t1,,1,80637,0
2,EcN,t1,21.3,1,81078,0.002258045
3,EcN,t1,29.1,7,81411,0.003151106
4,EcN,t1,14.8,7,81353,0.001765268
5,EcN,t1,22.8,2,81366,0.000463155
6,EcN,t1,26,2,81208,0.0000652
7,EcN,t1,27.4,6,81221,0.001325167
8,EcN,t1,37.5,6,81047,0.006285955
1,Control,t2,69.7,1,81050,0
2,Control,t2,71.6,1,81323,0
3,Control,t2,70,7,81465,0
4,Control,t2,65.4,7,81062,0
5,Control,t2,65.4,2,81116,0
6,Control,t2,74.5,2,81112,0.0000618
7,Control,t2,59.4,6,81049,0
8,Control,t2,76.3,6,81423,0
1,EcN,t2,63.1,1,80637,0
2,EcN,t2,64.1,1,81078,0.002258045
3,EcN,t2,63.9,7,81411,0.003151106
4,EcN,t2,59.7,7,81353,0.001765268
5,EcN,t2,74.3,2,81366,0.000463155
6,EcN,t2,66,2,81208,0.0000652
7,EcN,t2,56,6,81221,0.001325167
8,EcN,t2,63.9,6,81047,0.006285955
1,Control,t3,55.9,1,81050,
2,Control,t3,60.7,1,81323,
3,Control,t3,50.9,7,81465,
4,Control,t3,50.6,7,81062,
5,Control,t3,66.9,2,81116,
6,Control,t3,56.1,2,81112,
7,Control,t3,53.3,6,81049,
8,Control,t3,53,6,81423,
1,EcN,t3,53.1,1,80637,
2,EcN,t3,50.3,1,81078,
3,EcN,t3,50.6,7,81411,
4,EcN,t3,49.2,7,81353,
5,EcN,t3,46.9,2,81366,
6,EcN,t3,59.1,2,81208,
7,EcN,t3,45.6,6,81221,
8,EcN,t3,64,6,81047,
1,Control,t4,61.5,1,81050,
2,Control,t4,94.3,1,81323,
3,Control,t4,93.4,7,81465,
4,Control,t4,65.9,7,81062,
5,Control,t4,65.9,2,81116,
6,Control,t4,60.1,2,81112,
7,Control,t4,67.6,6,81049,
8,Control,t4,81.9,6,81423,
1,EcN,t4,68.5,1,80637,
2,EcN,t4,50.7,1,81078,
3,EcN,t4,67.4,7,81411,
4,EcN,t4,72.5,7,81353,
5,EcN,t4,75,2,81366,
6,EcN,t4,68.4,2,81208,
7,EcN,t4,52.7,6,81221,
8,EcN,t4,82.5,6,81047,
