id,group,time,score,department,ear_tag,EcN_cumulative
1,Control,t1,23,1,81050,0
2,Control,t1,8.04,1,81323,0
3,Control,t1,6.42,7,81465,0
4,Control,t1,29.9,7,81062,0
5,Control,t1,16.9,2,81116,0
6,Control,t1,2.98,2,81112,0.0000618
7,Control,t1,11.2,6,81049,0
8,Control,t1,11.7,6,81423,0
1,EcN,t1,,1,80637,0
2,EcN,t1,18,1,81078,0.002258045
3,EcN,t1,9.09,7,81411,0.003151106
4,EcN,t1,30.2,7,81353,0.001765268
5,EcN,t1,6.97,2,81366,0.000463155
6,EcN,t1,6.97,2,81208,0.0000652
7,EcN,t1,4.69,6,81221,0.001325167
8,EcN,t1,4.35,6,81047,0.006285955
1,Control,t2,3.96,1,81050,0
2,Control,t2,6.3,1,81323,0
3,Control,t2,3.24,7,81465,0
4,Control,t2,4.37,7,81062,0
5,Control,t2,4.26,2,81116,0
6,Control,t2,4.15,2,81112,0.0000618
7,Control,t2,2.77,6,81049,0
8,Control,t2,3.13,6,81423,0
1,EcN,t2,5.32,1,80637,0
2,EcN,t2,6.06,1,81078,0.002258045
3,EcN,t2,5.25,7,81411,0.003151106
4,EcN,t2,1.58,7,81353,0.001765268
5,EcN,t2,1.06,2,81366,0.000463155
6,EcN,t2,0.97,2,81208,0.0000652
7,EcN,t2,0.63,6,81221,0.001325167
8,EcN,t2,1.02,6,81047,0.006285955
1,Control,t3,10.8,1,81050,
2,Control,t3,13.4,1,81323,
3,Control,t3,11.5,7,81465,
4,Control,t3,13.8,7,81062,
5,Control,t3,17.8,2,81116,
6,Control,t3,11.8,2,81112,
7,Control,t3,14.6,6,81049,
8,Control,t3,7.84,6,81423,
1,EcN,t3,12.2,1,80637,
2,EcN,t3,9.76,1,81078,
3,EcN,t3,14.2,7,81411,
4,EcN,t3,5.26,7,81353,
5,EcN,t3,2.44,2,81366,
6,EcN,t3,13.3,2,81208,
7,EcN,t3,3.33,6,81221,
8,EcN,t3,2.27,6,81047,
1,Control,t4,10.2,1,81050,
2,Control,t4,47.5,1,81323,
3,Control,t4,38.4,7,81465,
4,Control,t4,31.6,7,81062,
5,Control,t4,20.8,2,81116,
6,Control,t4,13.2,2,81112,
7,Control,t4,16.4,6,81049,
8,Control,t4,11.4,6,81423,
1,EcN,t4,17.4,1,80637,
2,EcN,t4,15.9,1,81078,
3,EcN,t4,22.9,7,81411,
4,EcN,t4,13.9,7,81353,
5,EcN,t4,4.95,2,81366,
6,EcN,t4,28.4,2,81208,
7,EcN,t4,3.09,6,81221,
8,EcN,t4,9.12,6,81047,
