id,group,time,score,department,ear_tag,EcN_cumulative
1,Control,t1,1.361727836,1,81050,0
2,Control,t1,0.905256049,1,81323,0
3,Control,t1,0.807535028,7,81465,0
4,Control,t1,1.475671188,7,81062,0
5,Control,t1,1.227886705,2,81116,0
6,Control,t1,0.474216264,2,81112,0.0000618
7,Control,t1,1.049218023,6,81049,0
8,Control,t1,1.068185862,6,81423,0
1,EcN,t1,,1,80637,0
2,EcN,t1,1.255272505,1,81078,0.002258045
3,EcN,t1,0.958563883,7,81411,0.003151106
4,EcN,t1,1.480006943,7,81353,0.001765268
5,EcN,t1,0.843232778,2,81366,0.000463155
6,EcN,t1,0.843232778,2,81208,0.0000652
7,EcN,t1,0.671172843,6,81221,0.001325167
8,EcN,t1,0.638489257,6,81047,0.006285955
1,Control,t2,0.597695186,1,81050,0
2,Control,t2,0.799340549,1,81323,0
3,Control,t2,0.51054501,7,81465,0
4,Control,t2,0.640481437,7,81062,0
5,Control,t2,0.629409599,2,81116,0
6,Control,t2,0.618048097,2,81112,0.0000618
7,Control,t2,0.442479769,6,81049,0
8,Control,t2,0.495544338,6,81423,0
1,EcN,t2,0.725911632,1,80637,0
2,EcN,t2,0.782472624,1,81078,0.002258045
3,EcN,t2,0.720159303,7,81411,0.003151106
4,EcN,t2,0.198657087,7,81353,0.001765268
5,EcN,t2,0.025305865,2,81366,0.000463155
6,EcN,t2,-0.013228266,2,81208,0.0000652
7,EcN,t2,-0.200659451,6,81221,0.001325167
8,EcN,t2,0.008600172,6,81047,0.006285955
1,Control,t3,1.033423755,1,81050,
2,Control,t3,1.127104798,1,81323,
3,Control,t3,1.06069784,7,81465,
4,Control,t3,1.139879086,7,81062,
5,Control,t3,1.250420002,2,81116,
6,Control,t3,1.071882007,2,81112,
7,Control,t3,1.164352856,6,81049,
8,Control,t3,0.894316063,6,81423,
1,EcN,t3,1.086359831,1,80637,
2,EcN,t3,0.989449818,1,81078,
3,EcN,t3,1.152288344,7,81411,
4,EcN,t3,0.720985744,7,81353,
5,EcN,t3,0.387389826,2,81366,
6,EcN,t3,1.123851641,2,81208,
7,EcN,t3,0.522444234,6,81221,
8,EcN,t3,0.356025857,6,81047,
1,Control,t4,1.008600172,1,81050,
2,Control,t4,1.67669361,1,81323,
3,Control,t4,1.584331224,7,81465,
4,Control,t4,1.499687083,7,81062,
5,Control,t4,1.318063335,2,81116,
6,Control,t4,1.120573931,2,81112,
7,Control,t4,1.214843848,6,81049,
8,Control,t4,1.056904851,6,81423,
1,EcN,t4,1.240549248,1,80637,
2,EcN,t4,1.201397124,1,81078,
3,EcN,t4,1.359835482,7,81411,
4,EcN,t4,1.1430148,7,81353,
5,EcN,t4,0.694605199,2,81366,
6,EcN,t4,1.45331834,2,81208,
7,EcN,t4,0.489958479,6,81221,
8,EcN,t4,0.959994838,6,81047,
