id,group,time,score,department,ear_tag,EcN_cumulative,bwb,pen_preweaning
1,Control,t1,24.4,1,81050,0,1.64,105
2,Control,t1,33.4,1,81323,0,1.13,109
3,Control,t1,34.7,7,81465,0,1.48,703
4,Control,t1,35.9,7,81062,0,3.98,710
5,Control,t1,29.5,2,81116,0,1.39,202
6,Control,t1,42.4,2,81112,0.0000618,1.92,209
7,Control,t1,25.7,6,81049,0,1.7,601
8,Control,t1,28.2,6,81423,0,2.2,609
1,EcN,t1,,1,80637,0,1.35,106
2,EcN,t1,29.5,1,81078,0.002258045,1.77,107
3,EcN,t1,46.2,7,81411,0.003151106,1.27,702
4,EcN,t1,35.9,7,81353,0.001765268,2.04,708
5,EcN,t1,33.4,2,81366,0.000463155,2.08,205
6,EcN,t1,,2,81208,0.0000652,1.58,210
7,EcN,t1,33.4,6,81221,0.001325167,1.88,604
8,EcN,t1,24.4,6,81047,0.006285955,1.83,608
1,Control,t2,20.5,1,81050,0,1.64,105
2,Control,t2,25.7,1,81323,0,1.13,109
3,Control,t2,21.8,7,81465,0,1.48,703
4,Control,t2,27,7,81062,0,3.98,710
5,Control,t2,21.8,2,81116,0,1.39,202
6,Control,t2,19.3,2,81112,0.0000618,1.92,209
7,Control,t2,16.7,6,81049,0,1.7,601
8,Control,t2,20.5,6,81423,0,2.2,609
1,EcN,t2,20.5,1,80637,0,1.35,106
2,EcN,t2,29.5,1,81078,0.002258045,1.77,107
3,EcN,t2,44.9,7,81411,0.003151106,1.27,702
4,EcN,t2,42.4,7,81353,0.001765268,2.04,708
5,EcN,t2,30.8,2,81366,0.000463155,2.08,205
6,EcN,t2,37.2,2,81208,0.0000652,1.58,210
7,EcN,t2,25.7,6,81221,0.001325167,1.88,604
8,EcN,t2,23.1,6,81047,0.006285955,1.83,608
1,Control,t3,21.8,1,81050,,1.64,105
2,Control,t3,21.8,1,81323,,1.13,109
3,Control,t3,23.1,7,81465,,1.48,703
4,Control,t3,25.7,7,81062,,3.98,710
5,Control,t3,24.4,2,81116,,1.39,202
6,Control,t3,20.5,2,81112,,1.92,209
7,Control,t3,20.5,6,81049,,1.7,601
8,Control,t3,18,6,81423,,2.2,609
1,EcN,t3,16.7,1,80637,,1.35,106
2,EcN,t3,19.3,1,81078,,1.77,107
3,EcN,t3,28.2,7,81411,,1.27,702
4,EcN,t3,27,7,81353,,2.04,708
5,EcN,t3,35.9,2,81366,,2.08,205
6,EcN,t3,16.7,2,81208,,1.58,210
7,EcN,t3,23.1,6,81221,,1.88,604
8,EcN,t3,20.5,6,81047,,1.83,608
1,Control,t4,27,1,81050,,1.64,105
2,Control,t4,27,1,81323,,1.13,109
3,Control,t4,29.5,7,81465,,1.48,703
4,Control,t4,20.5,7,81062,,3.98,710
5,Control,t4,24.4,2,81116,,1.39,202
6,Control,t4,32.1,2,81112,,1.92,209
7,Control,t4,18,6,81049,,1.7,601
8,Control,t4,18,6,81423,,2.2,609
1,EcN,t4,21.8,1,80637,,1.35,106
2,EcN,t4,23.1,1,81078,,1.77,107
3,EcN,t4,15.4,7,81411,,1.27,702
4,EcN,t4,27,7,81353,,2.04,708
5,EcN,t4,37.2,2,81366,,2.08,205
6,EcN,t4,24.4,2,81208,,1.58,210
7,EcN,t4,23.1,6,81221,,1.88,604
8,EcN,t4,28.2,6,81047,,1.83,608
