id,group,time,score
1,Control,t1,29.2
2,Control,t1,25.3
3,Control,t1,13.3
4,Control,t1,55.5
5,Control,t1,3.18
6,Control,t1,2.68
7,Control,t1,32.9
8,Control,t1,18.2
1,EcN,t1,
2,EcN,t1,20.3
3,EcN,t1,28.6
4,EcN,t1,26.7
5,EcN,t1,26.5
6,EcN,t1,13.6
7,EcN,t1,21
8,EcN,t1,23.9
1,Control,t2,71
2,Control,t2,52.2
3,Control,t2,40.4
4,Control,t2,49.5
5,Control,t2,39.2
6,Control,t2,44.9
7,Control,t2,25.4
8,Control,t2,41.3
1,EcN,t2,39.3
2,EcN,t2,27.8
3,EcN,t2,54.9
4,EcN,t2,42.1
5,EcN,t2,31.1
6,EcN,t2,32.6
7,EcN,t2,30.7
8,EcN,t2,26.7
1,Control,t3,27.8
2,Control,t3,23.6
3,Control,t3,35.5
4,Control,t3,36.6
5,Control,t3,41.9
6,Control,t3,17.6
7,Control,t3,24.7
8,Control,t3,23.8
1,EcN,t3,20.1
2,EcN,t3,16.8
3,EcN,t3,35.8
4,EcN,t3,29.3
5,EcN,t3,32.7
6,EcN,t3,16.4
7,EcN,t3,33.2
8,EcN,t3,17.5
1,Control,t4,26.8
2,Control,t4,52.9
3,Control,t4,
4,Control,t4,33.4
5,Control,t4,41.8
6,Control,t4,34.6
7,Control,t4,17.4
8,Control,t4,21.2
1,EcN,t4,36.1
2,EcN,t4,19
3,EcN,t4,20.2
4,EcN,t4,27.1
5,EcN,t4,35
6,EcN,t4,26.6
7,EcN,t4,34.2
8,EcN,t4,27.5
