id,group,time,score
1,Control,t1,10.7
2,Control,t1,15.7
3,Control,t1,20.1
4,Control,t1,29
5,Control,t1,31.2
6,Control,t1,7.2
7,Control,t1,3.64
8,Control,t1,7.77
1,EcN,t1,
2,EcN,t1,15
3,EcN,t1,25.8
4,EcN,t1,4.89
5,EcN,t1,8.04
6,EcN,t1,4.64
7,EcN,t1,5.31
8,EcN,t1,9.55
1,Control,t2,21.8
2,Control,t2,22.5
3,Control,t2,25.9
4,Control,t2,16.4
5,Control,t2,5.15
6,Control,t2,6.55
7,Control,t2,7.02
8,Control,t2,28.6
1,EcN,t2,14.9
2,EcN,t2,11.7
3,EcN,t2,22.6
4,EcN,t2,23.9
5,EcN,t2,10.4
6,EcN,t2,3.9
7,EcN,t2,19.9
8,EcN,t2,8
1,Control,t3,8.73
2,Control,t3,6.79
3,Control,t3,11.5
4,Control,t3,11.2
5,Control,t3,7.86
6,Control,t3,5.62
7,Control,t3,4.85
8,Control,t3,14.9
1,EcN,t3,4.52
2,EcN,t3,5.35
3,EcN,t3,11.3
4,EcN,t3,6.62
5,EcN,t3,8.14
6,EcN,t3,8.84
7,EcN,t3,6.44
8,EcN,t3,9.66
1,Control,t4,7.54
2,Control,t4,28.1
3,Control,t4,29.2
4,Control,t4,9.59
5,Control,t4,3.67
6,Control,t4,7.33
7,Control,t4,11.4
8,Control,t4,18.7
1,EcN,t4,12.7
2,EcN,t4,12.7
3,EcN,t4,14.3
4,EcN,t4,16.1
5,EcN,t4,18.7
6,EcN,t4,7.77
7,EcN,t4,4.14
8,EcN,t4,9.85
