id,group,time,score
1,Control,t1,7.51
2,Control,t1,8.38
3,Control,t1,5.54
4,Control,t1,12
5,Control,t1,1
6,Control,t1,2.08
7,Control,t1,5.07
8,Control,t1,4.74
1,EcN,t1,
2,EcN,t1,13.7
3,EcN,t1,9.2
4,EcN,t1,5.55
5,EcN,t1,9.58
6,EcN,t1,4.14
7,EcN,t1,9.17
8,EcN,t1,13.5
1,Control,t2,32.3
2,Control,t2,33.7
3,Control,t2,29.3
4,Control,t2,39.5
5,Control,t2,21.4
6,Control,t2,30.7
7,Control,t2,23
8,Control,t2,20.5
1,EcN,t2,26.5
2,EcN,t2,20.5
3,EcN,t2,21.3
4,EcN,t2,23.9
5,EcN,t2,22.6
6,EcN,t2,30.2
7,EcN,t2,25.2
8,EcN,t2,26.4
1,Control,t3,20.2
2,Control,t3,19.9
3,Control,t3,16.1
4,Control,t3,14.1
5,Control,t3,16.7
6,Control,t3,21.5
7,Control,t3,13.7
8,Control,t3,9.76
1,EcN,t3,13.6
2,EcN,t3,10.8
3,EcN,t3,14.2
4,EcN,t3,18.9
5,EcN,t3,10.8
6,EcN,t3,13.6
7,EcN,t3,14.4
8,EcN,t3,13.8
1,Control,t4,26
2,Control,t4,32
3,Control,t4,26.1
4,Control,t4,28.8
5,Control,t4,24.1
6,Control,t4,24.5
7,Control,t4,29.5
8,Control,t4,19
1,EcN,t4,32.3
2,EcN,t4,18.7
3,EcN,t4,23.7
4,EcN,t4,22.1
5,EcN,t4,23
6,EcN,t4,27
7,EcN,t4,27
8,EcN,t4,22
