id,group,time,score
1,Control,t1,39.3
2,Control,t1,28.7
3,Control,t1,38.7
4,Control,t1,21.7
5,Control,t1,34.9
6,Control,t1,33.9
7,Control,t1,38
8,Control,t1,57.9
1,EcN,t1,
2,EcN,t1,37.5
3,EcN,t1,35.4
4,EcN,t1,52.8
5,EcN,t1,48.9
6,EcN,t1,33
7,EcN,t1,31.8
8,EcN,t1,32.1
1,Control,t2,20.2
2,Control,t2,24.6
3,Control,t2,32.1
4,Control,t2,18.5
5,Control,t2,25.1
6,Control,t2,30.1
7,Control,t2,36.2
8,Control,t2,38.2
1,EcN,t2,27.9
2,EcN,t2,26.6
3,EcN,t2,29.4
4,EcN,t2,27.6
5,EcN,t2,33
6,EcN,t2,24.9
7,EcN,t2,32.1
8,EcN,t2,30.2
1,Control,t3,40
2,Control,t3,37.6
3,Control,t3,57.6
4,Control,t3,32.1
5,Control,t3,39.2
6,Control,t3,43.5
7,Control,t3,48.4
8,Control,t3,44.9
1,EcN,t3,35.5
2,EcN,t3,38.9
3,EcN,t3,55.1
4,EcN,t3,47.6
5,EcN,t3,38.6
6,EcN,t3,21
7,EcN,t3,50.4
8,EcN,t3,36.7
1,Control,t4,47.1
2,Control,t4,32.2
3,Control,t4,38.6
4,Control,t4,25.4
5,Control,t4,41.2
6,Control,t4,49.8
7,Control,t4,43.6
8,Control,t4,35.6
1,EcN,t4,41.2
2,EcN,t4,43.9
3,EcN,t4,48.1
4,EcN,t4,28.3
5,EcN,t4,41.1
6,EcN,t4,29.5
7,EcN,t4,56.3
8,EcN,t4,35.2
