id,group,time,score,department,ear_tag,EcN_cumulative
1,Control,t1,7.97,1,81050,0
2,Control,t1,11.4,1,81323,0
3,Control,t1,11.5,7,81465,0
4,Control,t1,10.7,7,81062,0
5,Control,t1,3.76,2,81116,0
6,Control,t1,4.33,2,81112,0.0000618
7,Control,t1,6.68,6,81049,0
8,Control,t1,5.79,6,81423,0
1,EcN,t1,,1,80637,0
2,EcN,t1,12,1,81078,0.002258045
3,EcN,t1,11.5,7,81411,0.003151106
4,EcN,t1,7.63,7,81353,0.001765268
5,EcN,t1,11.7,2,81366,0.000463155
6,EcN,t1,12.1,2,81208,0.0000652
7,EcN,t1,13.5,6,81221,0.001325167
8,EcN,t1,14.7,6,81047,0.006285955
1,Control,t2,23.8,1,81050,0
2,Control,t2,29.9,1,81323,0
3,Control,t2,23.6,7,81465,0
4,Control,t2,27,7,81062,0
5,Control,t2,23.6,2,81116,0
6,Control,t2,24.7,2,81112,0.0000618
7,Control,t2,21,6,81049,0
8,Control,t2,20.5,6,81423,0
1,EcN,t2,28.3,1,80637,0
2,EcN,t2,20.6,1,81078,0.002258045
3,EcN,t2,23.1,7,81411,0.003151106
4,EcN,t2,23.6,7,81353,0.001765268
5,EcN,t2,22.9,2,81366,0.000463155
6,EcN,t2,27.2,2,81208,0.0000652
7,EcN,t2,16.7,6,81221,0.001325167
8,EcN,t2,18.2,6,81047,0.006285955
1,Control,t3,27.1,1,81050,
2,Control,t3,29.9,1,81323,
3,Control,t3,28.5,7,81465,
4,Control,t3,26,7,81062,
5,Control,t3,33,2,81116,
6,Control,t3,27.9,2,81112,
7,Control,t3,31.7,6,81049,
8,Control,t3,23.2,6,81423,
1,EcN,t3,24.5,1,80637,
2,EcN,t3,21.5,1,81078,
3,EcN,t3,29.7,7,81411,
4,EcN,t3,22.8,7,81353,
5,EcN,t3,23.2,2,81366,
6,EcN,t3,31.7,2,81208,
7,EcN,t3,17.5,6,81221,
8,EcN,t3,23.4,6,81047,
1,Control,t4,29,1,81050,
2,Control,t4,67.6,1,81323,
3,Control,t4,69.7,7,81465,
4,Control,t4,42.8,7,81062,
5,Control,t4,36.6,2,81116,
6,Control,t4,30.9,2,81112,
7,Control,t4,37,6,81049,
8,Control,t4,28.1,6,81423,
1,EcN,t4,36.5,1,80637,
2,EcN,t4,24.9,1,81078,
3,EcN,t4,42.7,7,81411,
4,EcN,t4,37.5,7,81353,
5,EcN,t4,35.1,2,81366,
6,EcN,t4,44.3,2,81208,
7,EcN,t4,25.1,6,81221,
8,EcN,t4,34.5,6,81047,
