id,group,time,score
1,Control,t1,0.901458321
2,Control,t1,1.056904851
3,Control,t1,1.06069784
4,Control,t1,1.029383778
5,Control,t1,0.575187845
6,Control,t1,0.636487896
7,Control,t1,0.824776462
8,Control,t1,0.762678564
1,EcN,t1,
2,EcN,t1,1.079181246
3,EcN,t1,1.06069784
4,EcN,t1,0.882524538
5,EcN,t1,1.068185862
6,EcN,t1,1.08278537
7,EcN,t1,1.130333768
8,EcN,t1,1.167317335
1,Control,t2,1.376576957
2,Control,t2,1.475671188
3,Control,t2,1.372912003
4,Control,t2,1.431363764
5,Control,t2,1.372912003
6,Control,t2,1.392696953
7,Control,t2,1.322219295
8,Control,t2,1.311753861
1,EcN,t2,1.451786436
2,EcN,t2,1.31386722
3,EcN,t2,1.36361198
4,EcN,t2,1.372912003
5,EcN,t2,1.359835482
6,EcN,t2,1.434568904
7,EcN,t2,1.222716471
8,EcN,t2,1.260071388
1,Control,t3,1.432969291
2,Control,t3,1.475671188
3,Control,t3,1.45484486
4,Control,t3,1.414973348
5,Control,t3,1.51851394
6,Control,t3,1.445604203
7,Control,t3,1.501059262
8,Control,t3,1.365487985
1,EcN,t3,1.389166084
2,EcN,t3,1.33243846
3,EcN,t3,1.472756449
4,EcN,t3,1.357934847
5,EcN,t3,1.365487985
6,EcN,t3,1.501059262
7,EcN,t3,1.243038049
8,EcN,t3,1.369215857
1,Control,t4,1.462397998
2,Control,t4,1.829946696
3,Control,t4,1.843232778
4,Control,t4,1.631443769
5,Control,t4,1.563481085
6,Control,t4,1.489958479
7,Control,t4,1.568201724
8,Control,t4,1.44870632
1,EcN,t4,1.562292864
2,EcN,t4,1.396199347
3,EcN,t4,1.630427875
4,EcN,t4,1.574031268
5,EcN,t4,1.545307116
6,EcN,t4,1.646403726
7,EcN,t4,1.399673721
8,EcN,t4,1.537819095
