id,group,time,score
1,Control,t1,63.4
2,Control,t1,59.5
3,Control,t1,66.6
4,Control,t1,63.1
5,Control,t1,44.4
6,Control,t1,58.1
7,Control,t1,70
8,Control,t1,53.8
1,EcN,t1,
2,EcN,t1,53.5
3,EcN,t1,65.2
4,EcN,t1,57.3
5,EcN,t1,48.4
6,EcN,t1,55
7,EcN,t1,69
8,EcN,t1,67
1,Control,t2,65.8
2,Control,t2,60.3
3,Control,t2,62.7
4,Control,t2,69
5,Control,t2,58.8
6,Control,t2,59.5
7,Control,t2,65.3
8,Control,t2,61.9
1,EcN,t2,69.8
2,EcN,t2,64.6
3,EcN,t2,58.1
4,EcN,t2,61.4
5,EcN,t2,54.2
6,EcN,t2,64.3
7,EcN,t2,70.9
8,EcN,t2,68.9
1,Control,t3,62.8
2,Control,t3,59.7
3,Control,t3,64.6
4,Control,t3,69.7
5,Control,t3,58.8
6,Control,t3,64.6
7,Control,t3,50.4
8,Control,t3,59.6
1,EcN,t3,67
2,EcN,t3,68.5
3,EcN,t3,58.5
4,EcN,t3,62.2
5,EcN,t3,55.1
6,EcN,t3,47.5
7,EcN,t3,66.7
8,EcN,t3,65.1
1,Control,t4,58.3
2,Control,t4,51.6
3,Control,t4,42.6
4,Control,t4,51.8
5,Control,t4,50.8
6,Control,t4,58.6
7,Control,t4,34.5
8,Control,t4,57.4
1,EcN,t4,57
2,EcN,t4,58.4
3,EcN,t4,38
4,EcN,t4,32.3
5,EcN,t4,40.8
6,EcN,t4,51.1
7,EcN,t4,62.8
8,EcN,t4,45.5
