id,group,time,score
1,Control,t1,5.11
2,Control,t1,6.48
3,Control,t1,6.61
4,Control,t1,8.17
5,Control,t1,1.36
6,Control,t1,1.2
7,Control,t1,6.35
8,Control,t1,3.12
1,EcN,t1,
2,EcN,t1,2.98
3,EcN,t1,3.15
4,EcN,t1,5.54
5,EcN,t1,4.05
6,EcN,t1,8.21
7,EcN,t1,9.14
8,EcN,t1,7.65
1,Control,t2,43.1
2,Control,t2,48
3,Control,t2,50.5
4,Control,t2,42.1
5,Control,t2,44
6,Control,t2,47
7,Control,t2,46.2
8,Control,t2,43.1
1,EcN,t2,44.1
2,EcN,t2,38.3
3,EcN,t2,49.5
4,EcN,t2,39.8
5,EcN,t2,42.4
6,EcN,t2,51.2
7,EcN,t2,36.7
8,EcN,t2,36.5
1,Control,t3,42.6
2,Control,t3,46.3
3,Control,t3,50.1
4,Control,t3,40.7
5,Control,t3,47.6
6,Control,t3,40.6
7,Control,t3,53.3
8,Control,t3,52.9
1,EcN,t3,47.3
2,EcN,t3,32
3,EcN,t3,52.5
4,EcN,t3,39.9
5,EcN,t3,38
6,EcN,t3,45.9
7,EcN,t3,33.7
8,EcN,t3,44.5
1,Control,t4,45.6
2,Control,t4,55.3
3,Control,t4,59.8
4,Control,t4,51.4
5,Control,t4,58.9
6,Control,t4,60
7,Control,t4,47.1
8,Control,t4,57.7
1,EcN,t4,63.1
2,EcN,t4,39.1
3,EcN,t4,62.1
4,EcN,t4,49
5,EcN,t4,45.8
6,EcN,t4,55.1
7,EcN,t4,46.5
8,EcN,t4,38.4
