id,group,time,score,department,ear_tag,EcN_cumulative
1,Control,t1,8.2,1,81050,0
2,Control,t1,4.6,1,81323,0
3,Control,t1,3.8,7,81465,0
4,Control,t1,4.16,7,81062,0
5,Control,t1,7.12,2,81116,0
6,Control,t1,6.32,2,81112,0.0000618
7,Control,t1,5.42,6,81049,0
8,Control,t1,11.4,6,81423,0
1,EcN,t1,,1,80637,0
2,EcN,t1,8.72,1,81078,0.002258045
3,EcN,t1,4.3,7,81411,0.003151106
4,EcN,t1,8.9,7,81353,0.001765268
5,EcN,t1,9.66,2,81366,0.000463155
6,EcN,t1,6.82,2,81208,0.0000652
7,EcN,t1,3.47,6,81221,0.001325167
8,EcN,t1,5.17,6,81047,0.006285955
1,Control,t2,7.92,1,81050,0
2,Control,t2,12.1,1,81323,0
3,Control,t2,7.13,7,81465,0
4,Control,t2,8.93,7,81062,0
5,Control,t2,10.1,2,81116,0
6,Control,t2,10.1,2,81112,0.0000618
7,Control,t2,8.75,6,81049,0
8,Control,t2,10.2,6,81423,0
1,EcN,t2,8.55,1,80637,0
2,EcN,t2,11.1,1,81078,0.002258045
3,EcN,t2,8.64,7,81411,0.003151106
4,EcN,t2,10.3,7,81353,0.001765268
5,EcN,t2,11.3,2,81366,0.000463155
6,EcN,t2,12.2,2,81208,0.0000652
7,EcN,t2,6.69,6,81221,0.001325167
8,EcN,t2,9.19,6,81047,0.006285955
1,Control,t3,8.53,1,81050,
2,Control,t3,9.03,1,81323,
3,Control,t3,9.01,7,81465,
4,Control,t3,6.86,7,81062,
5,Control,t3,9.96,2,81116,
6,Control,t3,8.1,2,81112,
7,Control,t3,9.81,6,81049,
8,Control,t3,10.5,6,81423,
1,EcN,t3,6.78,1,80637,
2,EcN,t3,7.81,1,81078,
3,EcN,t3,8.26,7,81411,
4,EcN,t3,8.19,7,81353,
5,EcN,t3,8.12,2,81366,
6,EcN,t3,8.26,2,81208,
7,EcN,t3,6.19,6,81221,
8,EcN,t3,7.1,6,81047,
1,Control,t4,9.02,1,81050,
2,Control,t4,6.02,1,81323,
3,Control,t4,4.74,7,81465,
4,Control,t4,6.21,7,81062,
5,Control,t4,9.88,2,81116,
6,Control,t4,9.58,2,81112,
7,Control,t4,9.47,6,81049,
8,Control,t4,7.65,6,81423,
1,EcN,t4,9.7,1,80637,
2,EcN,t4,9.81,1,81078,
3,EcN,t4,8.43,7,81411,
4,EcN,t4,7.95,7,81353,
5,EcN,t4,9.92,2,81366,
6,EcN,t4,7.94,2,81208,
7,EcN,t4,6.99,6,81221,
8,EcN,t4,7.62,6,81047,
