id ,group,time ,score
1,Control,t1,1.166178405
2,Control,t1,1.313149831
3,Control,t1,0.882524538
4,Control,t1,2.227808319
5,Control,t1,1.933836405
6,Control,t1,2.576561897
7,Control,t1,2.289938833
8,Control,t1,1.981342842
1,EcN,t1,1.801626632
2,EcN,t1,2.108201268
3,EcN,t1,2.026097935
4,EcN,t1,2.21064218
5,EcN,t1,1.94956808
6,EcN,t1,2.749910926
7,EcN,t1,2.401104879
8,EcN,t1,2.624297569
1,Control,t2,2.051883452
2,Control,t2,2.717134792
3,Control,t2,1.141214532
4,Control,t2,2.203404164
5,Control,t2,2.131060202
6,Control,t2,2.729014867
7,Control,t2,2.881187724
8,Control,t2,2.008989585
1,EcN,t2,2.336011198
2,EcN,t2,2.818586116
3,EcN,t2,3.061818007
4,EcN,t2,2.100129203
5,EcN,t2,1.066120845
6,EcN,t2,2.595668142
7,EcN,t2,2.425886208
8,EcN,t2,
1,Control,t3,2.361408607
2,Control,t3,2.276574384
3,Control,t3,2.060444743
4,Control,t3,2.622075109
5,Control,t3,2.021015547
6,Control,t3,1.516687383
7,Control,t3,1.637349612
8,Control,t3,1.495016759
1,EcN,t3,2.162524082
2,EcN,t3,2.157539872
3,EcN,t3,2.238901298
4,EcN,t3,2.014596135
5,EcN,t3,2.252233902
6,EcN,t3,2.046126267
7,EcN,t3,2.227718351
8,EcN,t3,1.513483957
