id,group,time,score,department
1,Control,t1,-0.105683937,6
2,Control,t1,0.906173364,1
3,Control,t1,0.747916508,6
4,Control,t1,,7
5,Control,t1,0.511616021,2
6,Control,t1,,1
7,Control,t1,1.194278399,7
8,Control,t1,1.194278399,2
1,EcN,t1,0.759176625,7
2,EcN,t1,1.27404233,6
3,EcN,t1,1.331315925,2
4,EcN,t1,1.332801903,7
5,EcN,t1,1.157592747,1
6,EcN,t1,1.527739427,6
7,EcN,t1,1.379504939,1
8,EcN,t1,1.542980949,2
1,Control,t2,1.162848069,3
2,Control,t2,1.048266963,3
3,Control,t2,0.699707678,2
4,Control,t2,0.779848915,4
5,Control,t2,0.869378416,2
6,Control,t2,1.295039029,1
7,Control,t2,1.172252552,1
8,Control,t2,0.690816058,4
1,EcN,t2,1.131217543,4
2,EcN,t2,0.906927347,3
3,EcN,t2,1.010045413,2
4,EcN,t2,0.972526818,2
5,EcN,t2,,1
6,EcN,t2,0.779596491,4
7,EcN,t2,0.699707678,1
8,EcN,t2,,3
1,Control,t3,1.768005065,3
2,Control,t3,1.520509734,4
3,Control,t3,,2
4,Control,t3,1.713742478,3
5,Control,t3,1.490864072,1
6,Control,t3,1.347183599,2
7,Control,t3,1.319969623,1
8,Control,t3,1.30988556,4
1,EcN,t3,1.825805716,2
2,EcN,t3,1.717254313,3
3,EcN,t3,1.800473063,4
4,EcN,t3,,1
5,EcN,t3,1.812248043,3
6,EcN,t3,1.416049398,4
7,EcN,t3,,2
8,EcN,t3,1.089746194,1
