id,group,time,score,ear-tag,EcN_cumulative,department
1,Control,t1,5.796,356,0,6
2,Control,t1,9.9365,141,0,1
3,Control,t1,12.3235,61,0,6
4,Control,t1,,126,0,7
5,Control,t1,0.7035,53,0,2
6,Control,t1,,469,0,1
7,Control,t1,15.8725,207,0,7
8,Control,t1,16.8,189,0,2
1,EcN,t1,9.436,283,0.0022822,7
2,EcN,t1,31.969,304,0.008970527,6
3,EcN,t1,26.3865,424,0,2
4,EcN,t1,23.1245,60,0.001158578,7
5,EcN,t1,23.863,195,0.00209,1
6,EcN,t1,60.6935,1,0.0000479,6
7,EcN,t1,31.5175,144,0.002241778,1
8,EcN,t1,54.7995,170,0.001065189,2
1,Control,t2,16.5865,,,3
2,Control,t2,12.0015,,,3
3,Control,t2,6.062,,,2
4,Control,t2,10.276,,,4
5,Control,t2,12.593,,,2
6,Control,t2,21.6335,,,1
7,Control,t2,20.034,,,1
8,Control,t2,8.344,,,4
1,EcN,t2,19.1905,,,4
2,EcN,t2,10.6645,,,3
3,EcN,t2,14.903,,,2
4,EcN,t2,9.9925,,,2
5,EcN,t2,5.1555,,,1
6,EcN,t2,3.339,,,4
7,EcN,t2,6.209,,,1
8,EcN,t2,,,,3
1,Control,t3,61.4845,,,3
2,Control,t3,48.062,,,4
3,Control,t3,16.324,,,2
4,Control,t3,38.066,,,3
5,Control,t3,16.4115,,,1
6,Control,t3,18.9805,,,2
7,Control,t3,19.3795,,,1
8,Control,t3,15.9565,,,4
1,EcN,t3,44.5375,,,2
2,EcN,t3,54.74,,,3
3,EcN,t3,120.9635,,,4
4,EcN,t3,,,,1
5,EcN,t3,74.774,,,3
6,EcN,t3,35.9415,,,4
7,EcN,t3,,,,2
8,EcN,t3,8.792,,,1
